Part,TrialN,PairID,LValue,RValue,ChosenITM,ChoiceRT,Conf,ConfRT,BlockCond,tDDT,lIA_DT,rIA_DT,tGSF,lastFixat,DV,zDV,absDV,zAbsDV,zConf,zChoiceRT
1,1,49,110,131,0,4261.735,74,1584.9660000000001,LESS,-508,2392,1884,0,0,21.0,1.9685577674164243,21.0,2.095290887308735,0.38883333852157215,1.2284490278498308
1,2,13,47,50,1,3559.258,54,1864.3870000000002,LESS,-504,2188,1684,0,0,3.0,0.28122253820234633,3.0,-1.0476454436543674,-0.6400531140162148,0.6552951027993201
1,3,16,50,44,1,3754.4640000000004,64,3778.8070000000002,LESS,-48,1644,1596,0,0,-6.0,-0.5624450764046927,6.0,-0.5238227218271837,-0.1256098877473213,0.8145644953821521
1,4,7,57,50,0,2431.751,84,3064.179,LESS,-2462,3136,674,0,0,-7.0,-0.6561859224721414,7.0,-0.34921514788478913,0.9032765647904656,-0.2646425785367606
1,5,18,42,50,0,2199.342,44,2850.845,LESS,-1130,1672,542,0,0,8.0,0.7499267685395902,8.0,-0.17460757394239457,-1.1544963402851083,-0.45426605456097807
1,6,51,108,110,0,3269.922,44,3745.039,LESS,-1490,2472,982,0,0,2.0,0.18748169213489754,2.0,-1.2222530175967619,-1.1544963402851083,0.41922464916394925
1,7,31,78,80,0,6606.698,74,2425.516,LESS,-1170,3474,2304,0,0,2.0,0.18748169213489754,2.0,-1.2222530175967619,0.38883333852157215,3.1417141561717847
1,8,58,110,92,1,3642.1459999999997,74,3030.0009999999997,LESS,-1680,3044,1364,0,0,-18.0,-1.687335229214078,18.0,1.571468165481551,0.38883333852157215,0.7229237689899384
1,9,12,50,48,1,5213.48,54,2229.314,LESS,-472,2860,2388,0,0,-2.0,-0.18748169213489754,2.0,-1.2222530175967619,-0.6400531140162148,2.004981757600696
1,10,54,110,101,1,5511.334,34,1727.761,LESS,752,2000,2752,0,0,-9.0,-0.843667614607039,9.0,0.0,-1.6689395665540017,2.2480020830946192
1,11,14,46,50,0,2007.957,74,1249.337,LESS,-772,1334,562,0,0,4.0,0.3749633842697951,4.0,-0.8730378697119728,0.38883333852157215,-0.6104178772481151
1,12,22,80,83,1,3124.5209999999997,64,1956.342,LESS,-918,2186,1268,0,0,3.0,0.28122253820234633,3.0,-1.0476454436543674,-0.1256098877473213,0.3005913645777361
1,13,6,50,56,0,1978.076,74,3940.974,LESS,-1050,1608,558,0,0,6.0,0.5624450764046927,6.0,-0.5238227218271837,0.38883333852157215,-0.6347979102377139
1,14,13,50,47,1,2508.548,34,2032.9779999999998,LESS,-428,1614,1186,0,0,-3.0,-0.28122253820234633,3.0,-1.0476454436543674,-1.6689395665540017,-0.20198358474464523
1,15,46,110,124,1,3907.2459999999996,4,1461.971,LESS,-660,2542,1882,0,0,14.0,1.3123718449442827,14.0,0.8730378697119728,-3.212269245360682,0.9392199687671415
1,16,27,91,80,1,3482.062,64,2540.283,LESS,-660,2246,1586,0,0,-11.0,-1.0311493067419364,11.0,0.34921514788478913,-0.1256098877473213,0.5923105632368872
1,17,40,64,80,0,1823.3770000000002,74,2167.7470000000003,LESS,-750,1256,506,0,0,16.0,1.4998535370791803,16.0,1.2222530175967619,0.38883333852157215,-0.7610174719477614
1,18,22,83,80,0,5111.944,64,1821.922,LESS,-1778,3340,1562,0,0,-3.0,-0.28122253820234633,3.0,-1.0476454436543674,-0.1256098877473213,1.9221381101447246
1,19,54,101,110,0,4920.474,54,3188.875,LESS,-2694,3968,1274,0,0,9.0,0.843667614607039,9.0,0.0,-0.6400531140162148,1.7659169356017552
1,20,6,56,50,0,1869.935,54,1348.0910000000001,LESS,-620,1160,540,0,0,-6.0,-0.5624450764046927,6.0,-0.5238227218271837,-0.6400531140162148,-0.723030604843925
1,21,18,50,42,0,1705.8110000000001,84,1299.3139999999999,LESS,20,1130,1150,0,0,-8.0,-0.7499267685395902,8.0,-0.17460757394239457,0.9032765647904656,-0.8569400635094614
1,22,43,110,117,0,3083.54,54,2248.677,LESS,-1634,2252,618,0,0,7.0,0.6561859224721414,7.0,-0.34921514788478913,-0.6400531140162148,0.2671547951206648
1,23,32,77,80,0,2474.714,24,1261.502,LESS,-1258,1954,696,0,0,3.0,0.28122253820234633,3.0,-1.0476454436543674,-2.1833827928228953,-0.22958888698252475
1,24,27,80,91,0,2272.349,74,1373.872,LESS,-728,1536,808,0,0,11.0,1.0311493067419364,11.0,0.34921514788478913,0.38883333852157215,-0.3946993376347831
1,25,16,44,50,0,3790.48,64,2175.9139999999998,LESS,-616,1952,1336,0,0,6.0,0.5624450764046927,6.0,-0.5238227218271837,-0.1256098877473213,0.8439501005544485
1,26,7,50,57,0,2046.0620000000001,64,1804.283,LESS,-774,1330,556,0,0,7.0,0.6561859224721414,7.0,-0.34921514788478913,-0.1256098877473213,-0.5793278482307244
1,27,14,50,46,1,3822.2509999999997,64,1246.1789999999999,LESS,686,1538,2224,0,0,-4.0,-0.3749633842697951,4.0,-0.8730378697119728,-0.1256098877473213,0.8698721924560765
1,28,51,110,108,0,3347.54,64,1979.1660000000002,LESS,-1556,2496,940,0,0,-2.0,-0.18748169213489754,2.0,-1.2222530175967619,-0.1256098877473213,0.4825535002929834
1,29,50,133,110,1,2252.245,54,2859.177,LESS,-236,1374,1138,0,0,-23.0,-2.1560394595513217,23.0,2.4445060351935237,-0.6400531140162148,-0.41110227539532984
1,30,49,131,110,1,2083.424,74,1310.553,LESS,388,964,1352,0,0,-21.0,-1.9685577674164243,21.0,2.095290887308735,0.38883333852157215,-0.5488440360237237
1,31,47,126,110,1,4155.502,44,1021.7330000000001,LESS,-726,2120,1394,0,0,-16.0,-1.4998535370791803,16.0,1.2222530175967619,-1.1544963402851083,1.141773078431002
