,parcode,trial,rt,choice,item_left,item_right
0,1,0,4261.735,-1,63,42
1,1,1,3559.258,1,126,123
2,1,2,3754.464,1,123,129
3,1,3,2431.751,-1,116,123
4,1,4,2199.342,-1,131,123
5,1,5,3269.922,-1,65,63
6,1,6,6606.698,-1,95,93
7,1,7,3642.146,1,63,81
8,1,8,5213.48,1,123,125
9,1,9,5511.334,1,63,72
10,1,10,2007.957,-1,127,123
11,1,11,3124.521,1,93,90
12,1,12,1978.076,-1,123,117
13,1,13,2508.548,1,123,126
14,1,14,3907.246,1,63,49
15,1,15,3482.062,1,82,93
16,1,16,1823.377,-1,109,93
17,1,17,5111.944,-1,90,93
18,1,18,4920.474,-1,72,63
19,1,19,1869.935,-1,117,123
20,1,20,1705.811,-1,123,131
21,1,21,3083.54,-1,63,56
22,1,22,2474.714,-1,96,93
23,1,23,2272.349,-1,93,82
24,1,24,3790.48,-1,129,123
25,1,25,2046.062,-1,123,116
26,1,26,3822.251,1,123,127
27,1,27,3347.54,-1,63,65
28,1,28,2252.245,1,40,63
29,1,29,2083.424,1,42,63
30,1,30,4155.502,1,47,63
31,1,31,2550.939,-1,63,40
32,1,32,5814.551,-1,63,47
33,1,33,1428.2879999999998,-1,125,123
34,1,34,1743.991,-1,93,96
35,1,35,2329.644,1,56,63
36,1,36,3381.75,1,93,109
37,1,37,2209.993,-1,93,95
38,1,38,3602.313,1,49,63
39,1,39,2506.099,-1,81,63
40,1,40,7964.300999999998,1,45,63
41,1,41,1743.8239999999994,-1,123,115
42,1,42,2122.334,-1,119,123
43,1,43,2518.011,1,93,104
44,1,44,2201.475,-1,68,63
45,1,45,2131.478,-1,118,123
46,1,46,2017.429,-1,77,93
47,1,47,3241.381,1,93,98
48,1,48,2528.386,-1,63,45
49,1,49,1679.8729999999994,1,114,123
50,1,50,1513.221,-1,63,54
51,1,51,3359.407,1,121,123
52,1,52,3815.203,-1,115,123
53,1,53,4747.633,-1,54,63
54,1,54,3013.624000000001,-1,99,93
55,1,55,3695.847,-1,87,93
56,1,56,1818.684,-1,107,93
57,1,57,3040.837,-1,123,114
58,1,58,3156.807,-1,79,63
59,1,59,5926.643,1,63,86
60,1,60,4156.099,1,98,93
61,1,61,2333.893,1,123,128
62,1,62,2362.993,-1,84,63
63,1,63,1705.088,-1,93,79
64,1,64,1720.385,1,63,75
65,1,65,1728.2179999999994,-1,79,93
66,1,66,2498.348,1,63,79
67,1,67,3240.459000000001,1,93,107
68,1,68,2765.97,1,123,119
69,1,69,2998.353,1,75,63
70,1,70,2079.715,-1,123,121
71,1,71,1666.1029999999994,1,63,84
72,1,72,2426.928,-1,86,63
73,1,73,3263.2990000000004,1,63,68
74,1,74,1723.836,-1,93,77
75,1,75,1368.6429999999998,-1,93,87
76,1,76,1990.443,-1,123,118
77,1,77,2997.126,-1,93,99
78,1,78,1573.53,-1,128,123
79,1,79,2306.153,-1,104,93
80,1,80,2773.406,-1,123,120
81,1,81,2122.486,1,123,133
82,1,82,1541.2910000000006,-1,93,85
83,1,83,1792.184,-1,58,63
84,1,84,1719.1229999999994,-1,70,63
85,1,85,5485.479,1,83,93
86,1,86,4941.353,1,93,101
87,1,87,1580.206,1,80,93
88,1,88,3148.962,-1,93,83
89,1,89,2129.2,1,85,93
90,1,90,1528.68,-1,93,103
91,1,91,1442.214,-1,93,80
92,1,92,1628.017,-1,91,93
93,1,93,2346.231,1,123,132
94,1,94,3316.3390000000004,-1,77,63
95,1,95,3031.183,-1,93,88
96,1,96,2266.764,-1,113,123
97,1,97,1321.42,-1,132,123
98,1,98,2265.431,1,63,77
99,1,99,4164.13,-1,101,93
100,1,100,2726.3920000000007,-1,124,123
101,1,101,2464.949,1,130,123
102,1,102,1844.314,1,122,123
103,1,103,4667.099,1,61,63
104,1,104,3192.227000000001,-1,133,123
105,1,105,2169.18,-1,123,122
106,1,106,2349.446,1,88,93
107,1,107,3171.303,-1,123,124
108,1,108,2993.885,-1,123,130
109,1,109,2046.197,-1,93,91
110,1,110,2000.771,-1,123,113
111,1,111,3949.34,1,120,123
112,1,112,2302.897,1,51,63
113,1,113,1967.521,-1,106,93
114,1,114,5436.005,-1,93,106
115,1,115,1555.042,-1,103,93
116,1,116,1991.723,-1,63,51
117,1,117,3401.665,-1,63,58
118,1,118,4202.816,1,63,61
119,1,119,2110.906,1,63,70
120,2,0,4393.264,-1,63,42
121,2,1,9018.968,1,126,123
122,2,2,2271.286,1,123,129
123,2,3,13824.456,-1,116,123
124,2,4,2308.854,-1,131,123
125,2,5,6735.222,-1,65,63
126,2,6,4220.918,-1,95,93
127,2,7,4542.710999999998,1,63,81
128,2,8,10213.207,1,123,125
129,2,9,12842.266,-1,63,72
130,2,10,5697.236,-1,127,123
131,2,11,9507.452,1,93,90
132,2,12,2202.626,-1,123,117
133,2,13,10523.383,-1,123,126
134,2,14,5659.319,-1,63,49
135,2,15,11711.122,-1,82,93
136,2,16,4957.49,-1,109,93
137,2,17,4295.431,1,90,93
138,2,18,3120.003,-1,72,63
139,2,19,6435.686,1,117,123
140,2,20,4288.92,1,123,131
141,2,21,9699.076,-1,63,56
142,2,22,12993.588,-1,96,93
143,2,23,6368.911,-1,93,82
144,2,24,5931.459,-1,129,123
145,2,25,13766.499,-1,123,116
146,2,26,3602.769,1,123,127
147,2,27,8029.58,1,63,65
148,2,28,9357.582,1,40,63
149,2,29,14391.407,1,42,63
150,2,30,13627.4,1,47,63
151,2,31,4957.208,-1,63,40
152,2,32,5640.168000000002,-1,63,47
153,2,33,8963.665,1,125,123
154,2,34,12768.284,-1,93,96
155,2,35,13402.299,1,56,63
156,2,36,8565.537,-1,93,109
157,2,37,8977.981,1,93,95
158,2,38,19471.289,1,49,63
159,2,39,3362.804,-1,81,63
160,2,40,10371.722,1,45,63
161,2,41,6100.871,-1,123,115
162,2,42,10341.341,1,119,123
163,2,43,6921.445,1,93,104
164,2,44,3024.208,-1,68,63
165,2,45,8126.898,1,118,123
166,2,46,6204.749,-1,77,93
167,2,47,4774.057,-1,93,98
168,2,48,4717.593,-1,63,45
169,2,49,12861.619,-1,114,123
170,2,50,8381.153,-1,63,54
171,2,51,7201.565,1,121,123
172,2,52,6935.852,1,115,123
173,2,53,8155.781999999997,1,54,63
174,2,54,11231.186000000005,-1,99,93
175,2,55,13460.855,1,87,93
176,2,56,5129.368,-1,107,93
177,2,57,3361.537000000001,-1,123,114
178,2,58,13908.459,-1,79,63
179,2,59,6783.104,1,63,86
180,2,60,9203.481,-1,98,93
181,2,61,5052.915,1,123,128
182,2,62,6342.498000000001,-1,84,63
183,2,63,3910.52,-1,93,79
184,2,64,4594.054,1,63,75
185,2,65,15601.451,-1,79,93
186,2,66,7309.275,1,63,79
187,2,67,5190.82,1,93,107
188,2,68,20879.898,-1,123,119
189,2,69,4408.831,-1,75,63
190,2,70,13117.59,-1,123,121
191,2,71,5613.9659999999985,1,63,84
192,2,72,5082.736,-1,86,63
193,2,73,8499.643,-1,63,68
194,2,74,7979.472,-1,93,77
195,2,75,15395.867,1,93,87
196,2,76,8201.57,-1,123,118
197,2,77,6820.168000000002,1,93,99
198,2,78,8076.828,-1,128,123
199,2,79,5123.042,-1,104,93
200,2,80,7575.096,-1,123,120
201,2,81,4658.442,1,123,133
202,2,82,7008.028,-1,93,85
203,2,83,13829.928,-1,58,63
204,2,84,2747.496,-1,70,63
205,2,85,12428.383,1,83,93
206,2,86,4775.54,-1,93,101
207,2,87,6153.953,1,80,93
208,2,88,5461.167,-1,93,83
209,2,89,7037.482,1,85,93
210,2,90,15416.275,1,93,103
211,2,91,5270.916,-1,93,80
212,2,92,5931.903,1,91,93
213,2,93,4572.768,1,123,132
214,2,94,5824.12,-1,77,63
215,2,95,8615.398000000001,1,93,88
216,2,96,8031.564,1,113,123
217,2,97,2722.327,-1,132,123
218,2,98,14101.24,1,63,77
219,2,99,8237.123,-1,101,93
220,2,100,5628.714,-1,124,123
221,2,101,7812.105,-1,130,123
222,2,102,13191.96,-1,122,123
223,2,103,7394.705,-1,61,63
224,2,104,13209.633,-1,133,123
225,2,105,9956.088,-1,123,122
226,2,106,11160.33,-1,88,93
227,2,107,10567.69,1,123,124
228,2,108,3856.248,1,123,130
229,2,109,9273.443,-1,93,91
230,2,110,2950.943,-1,123,113
231,2,111,13342.428,-1,120,123
232,2,112,7723.314,1,51,63
233,2,113,4339.511,-1,106,93
234,2,114,5191.56,1,93,106
235,2,115,4657.154,-1,103,93
236,2,116,5824.51,-1,63,51
237,2,117,18900.494,-1,63,58
238,2,118,4334.927,-1,63,61
239,2,119,8621.08,-1,63,70
240,3,0,4612.844,1,63,42
241,3,1,3098.9640000000004,-1,126,123
242,3,2,3949.32,-1,123,129
243,3,3,3992.314,1,116,123
244,3,4,3063.877,-1,131,123
245,3,5,6334.299,1,65,63
246,3,6,3503.517000000001,-1,95,93
247,3,7,5757.464,1,63,81
248,3,8,4202.759,1,123,125
249,3,9,3362.251,1,63,72
250,3,10,4765.607,-1,127,123
251,3,11,4393.51,-1,93,90
252,3,12,2648.53,-1,123,117
253,3,13,3205.018,1,123,126
254,3,14,2249.129,-1,63,49
255,3,15,3368.787000000001,1,82,93
256,3,16,1595.809,-1,109,93
257,3,17,2598.623,-1,90,93
258,3,18,3256.513,1,72,63
259,3,19,2950.898,1,117,123
260,3,20,2088.328,-1,123,131
261,3,21,2892.78,-1,63,56
262,3,22,3153.39,1,96,93
263,3,23,3489.703,-1,93,82
264,3,24,1597.213,-1,129,123
265,3,25,2715.458,-1,123,116
266,3,26,3544.648,1,123,127
267,3,27,5488.943,1,63,65
268,3,28,2793.11,1,40,63
269,3,29,3888.358,1,42,63
270,3,30,3968.847,1,47,63
271,3,31,5034.733,-1,63,40
272,3,32,2112.499,-1,63,47
273,3,33,2296.6620000000007,-1,125,123
274,3,34,3646.655,-1,93,96
275,3,35,4058.004,1,56,63
276,3,36,4104.806,1,93,109
277,3,37,2157.565,-1,93,95
278,3,38,5902.977,1,49,63
279,3,39,3965.283,-1,81,63
280,3,40,2874.212,1,45,63
281,3,41,1905.035,-1,123,115
282,3,42,3598.064000000001,-1,119,123
283,3,43,4363.497,1,93,104
284,3,44,3112.865,-1,68,63
285,3,45,1884.503,-1,118,123
286,3,46,1983.844,-1,77,93
287,3,47,3481.898,1,93,98
288,3,48,1740.578,-1,63,45
289,3,49,2775.34,1,114,123
290,3,50,3192.21,-1,63,54
291,3,51,2788.262,-1,121,123
292,3,52,2021.154,-1,115,123
293,3,53,2046.904,-1,54,63
294,3,54,2458.908,-1,99,93
295,3,55,11284.041,-1,87,93
296,3,56,2205.452,-1,107,93
297,3,57,2938.959000000001,1,123,114
298,3,58,2075.831,-1,79,63
299,3,59,6006.701,1,63,86
300,3,60,5185.448,-1,98,93
301,3,61,2171.165,-1,123,128
302,3,62,2231.588,-1,84,63
303,3,63,6749.729,-1,93,79
304,3,64,1702.985,1,63,75
305,3,65,4327.1,1,79,93
306,3,66,2781.398,1,63,79
307,3,67,2153.141,-1,93,107
308,3,68,5509.326,-1,123,119
309,3,69,3790.565,-1,75,63
310,3,70,1935.545,-1,123,121
311,3,71,5071.439,1,63,84
312,3,72,1970.037,-1,86,63
313,3,73,1915.188,-1,63,68
314,3,74,1806.863,-1,93,77
315,3,75,3215.543,-1,93,87
