,parcode,trial,rt,choice,item_left,item_right
0,1,0,1734.284,1,110,131
1,1,1,6555.37,-1,47,50
2,1,2,3174.566,-1,50,44
3,1,3,2877.579,1,57,50
4,1,4,1806.31,1,42,50
5,1,5,3636.816,-1,108,110
6,1,6,3650.266,1,78,80
7,1,7,3078.223,-1,110,92
8,1,8,1259.268,1,50,48
9,1,9,3440.738,-1,110,101
10,1,10,5698.026999999999,1,46,50
11,1,11,8224.466999999999,1,80,83
12,1,12,2626.168,1,50,56
13,1,13,1991.413,-1,50,47
14,1,14,1671.149,1,110,124
15,1,15,2607.607,-1,91,80
16,1,16,1527.826,1,64,80
17,1,17,5043.16,-1,83,80
18,1,18,2267.665,1,101,110
19,1,19,4499.543,-1,56,50
20,1,20,5571.061,-1,50,42
21,1,21,2045.641,1,110,117
22,1,22,1402.112,1,77,80
23,1,23,2736.625,1,80,91
24,1,24,2065.604,1,44,50
25,1,25,3058.203,1,50,57
26,1,26,1613.454,1,50,46
27,1,27,1931.482,1,110,108
28,1,28,4895.517,-1,133,110
29,1,29,3197.86,1,131,110
30,1,30,2000.688,1,126,110
31,1,31,1921.251,1,110,133
32,1,32,2050.4970000000008,1,110,126
33,1,33,2219.756,1,48,50
34,1,34,1635.473,1,80,77
35,1,35,5608.432,-1,117,110
36,1,36,4443.018,-1,80,64
37,1,37,2620.927,1,80,78
38,1,38,1725.9029999999998,1,124,110
39,1,39,3225.23,1,92,110
40,1,40,1686.53,-1,128,110
41,1,41,2010.532,1,50,58
42,1,42,2244.929,-1,54,50
43,1,43,2092.94,-1,80,69
44,1,44,1361.319,1,105,110
45,1,45,1596.589,1,55,50
46,1,46,2850.121,-1,96,80
47,1,47,1380.8970000000006,1,80,75
48,1,48,1391.672,1,110,128
49,1,49,2101.903,-1,59,50
50,1,50,1582.34,1,110,119
51,1,51,2320.312,-1,52,50
52,1,52,2184.782,-1,58,50
53,1,53,2602.684,-1,119,110
54,1,54,2890.742,1,74,80
55,1,55,1954.547,1,86,80
56,1,56,1901.984,1,66,80
57,1,57,3133.506,1,50,59
58,1,58,2545.418,1,94,110
59,1,59,2023.468,-1,110,87
60,1,60,3330.755,1,75,80
61,1,61,1866.57,-1,50,45
62,1,62,1604.858,1,89,110
63,1,63,2458.127,1,80,94
64,1,64,4970.636,-1,110,98
65,1,65,3115.157,-1,94,80
66,1,66,3128.098,-1,110,94
67,1,67,3745.136,-1,80,66
68,1,68,3673.352,1,50,54
69,1,69,4942.765,1,98,110
70,1,70,2224.593,-1,50,52
71,1,71,2997.098,1,110,89
72,1,72,1391.7379999999994,1,87,110
73,1,73,3340.985,-1,110,105
74,1,74,1648.785,1,80,96
75,1,75,1990.089,-1,80,86
76,1,76,2490.532,1,50,55
77,1,77,2508.0170000000007,-1,80,74
78,1,78,2293.524,1,45,50
79,1,79,3004.818,1,69,80
80,1,80,3496.366,1,50,53
81,1,81,2849.513,1,50,40
82,1,82,1540.3929999999998,1,80,88
83,1,83,2342.863,-1,115,110
84,1,84,2502.521,1,103,110
85,1,85,1799.6270000000006,-1,90,80
86,1,86,5352.23,1,80,72
87,1,87,2424.21,-1,93,80
88,1,88,1269.404,1,80,90
89,1,89,2779.2740000000013,-1,88,80
90,1,90,2537.132,-1,80,70
91,1,91,2351.272,1,80,93
92,1,92,2358.716,-1,82,80
93,1,93,2684.724,-1,50,41
94,1,94,1983.477,1,96,110
95,1,95,4650.79,1,80,85
96,1,96,3835.065,-1,60,50
97,1,97,3849.206,1,41,50
98,1,98,3243.343,-1,110,96
99,1,99,1644.5839999999994,1,72,80
100,1,100,1274.981,1,49,50
101,1,101,2589.055,1,43,50
102,1,102,2300.565,-1,51,50
103,1,103,2922.026,-1,112,110
104,1,104,1135.847,1,40,50
105,1,105,1991.672,1,50,51
106,1,106,1851.808,-1,85,80
107,1,107,1321.034,1,50,49
108,1,108,4003.124,1,50,43
109,1,109,1954.281,-1,80,82
110,1,110,2030.128,1,50,60
111,1,111,1964.125,-1,53,50
112,1,112,2014.069,-1,122,110
113,1,113,1598.829,1,67,80
114,1,114,1453.6029999999994,1,80,67
115,1,115,1977.727,1,70,80
116,1,116,1623.8970000000006,1,110,122
117,1,117,2901.364,1,110,115
118,1,118,1565.164,1,110,112
119,1,119,1559.884,1,110,103
120,2,0,6228.547,1,110,131
121,2,1,6635.751,1,47,50
122,2,2,4766.7440000000015,-1,50,44
123,2,3,10945.402,-1,57,50
124,2,4,5673.265,1,42,50
125,2,5,46657.359,1,108,110
126,2,6,7750.691,-1,78,80
127,2,7,9776.843,-1,110,92
128,2,8,7758.235,1,50,48
129,2,9,44526.337,-1,110,101
130,2,10,10806.455,1,46,50
131,2,11,5936.281,1,80,83
132,2,12,22118.048,-1,50,56
133,2,13,7867.571999999999,-1,50,47
134,2,14,24336.379,1,110,124
135,2,15,12568.18,-1,91,80
136,2,16,7216.420999999998,1,64,80
137,2,17,24450.946,-1,83,80
138,2,18,20652.52,1,101,110
139,2,19,9962.632,-1,56,50
140,2,20,15264.738,-1,50,42
141,2,21,14577.04,1,110,117
142,2,22,10502.538,-1,77,80
143,2,23,8938.346,1,80,91
144,2,24,8371.705,1,44,50
145,2,25,8634.889000000001,-1,50,57
146,2,26,9256.349,-1,50,46
147,2,27,98982.33,-1,110,108
148,2,28,71123.695,-1,133,110
149,2,29,14323.977,1,131,110
150,2,30,11246.8,1,126,110
151,2,31,5729.5819999999985,1,110,133
152,2,32,15507.063,1,110,126
153,2,33,9584.002,-1,48,50
154,2,34,15060.043,1,80,77
155,2,35,13755.941,1,117,110
