value_left,value_right
110,131
47,50
50,44
57,50
42,50
108,110
78,80
110,92
50,48
110,101
46,50
80,83
50,56
50,47
110,124
91,80
64,80
83,80
101,110
56,50
50,42
110,117
77,80
80,91
44,50
50,57
50,46
110,108
133,110
131,110
126,110
110,133
110,126
48,50
80,77
117,110
80,64
80,78
124,110
92,110
128,110
50,58
54,50
80,69
105,110
55,50
96,80
80,75
110,128
59,50
110,119
52,50
58,50
119,110
74,80
86,80
66,80
50,59
94,110
110,87
75,80
50,45
89,110
80,94
110,98
94,80
110,94
80,66
50,54
98,110
50,52
110,89
87,110
110,105
80,96
80,86
50,55
80,74
45,50
69,80
50,53
50,40
80,88
115,110
103,110
90,80
80,72
93,80
80,90
88,80
80,70
80,93
82,80
50,41
96,110
80,85
60,50
41,50
110,96
72,80
49,50
43,50
51,50
112,110
40,50
50,51
85,80
50,49
50,43
80,82
50,60
53,50
122,110
67,80
80,67
70,80
110,122
110,115
110,112
110,103
