,DATA_FILE,TRIAL_INDEX,CURRENT_MSG_TEXT,CURRENT_MSG_INTEREST_AREAS,CURRENT_MSG_INTEREST_AREA_ID,CURRENT_MSG_TIME,CURRENT_MSG_FIX_START,CURRENT_MSG_FIX_END,CURRENT_MSG_INDEX,CHOICE_RT,BlockType,IP_START_TIME,IP_DURATION,IP_END_TIME,trial_type
1,P22.edf,1,START_DRAWING,.,.,77,76,376,2,3836.809,FEWEST,3208802,3821,3212623,Practice1
332,P22.edf,1,Chose_Left,.,.,3897,3752,3897,333,3836.809,FEWEST,3208802,3821,3212623,Practice1
333,P22.edf,1,ChoseLeft,.,.,3897,3752,3897,334,3836.809,FEWEST,3208802,3821,3212623,Practice1
335,P22.edf,2,START_DRAWING,.,.,82,80,340,2,6228.755999999999,FEWEST,3222268,6208,3228476,Practice1
1033,P22.edf,2,Chose_Right,[3],3,6288,5806,6288,700,6228.755999999999,FEWEST,3222268,6208,3228476,Practice1
1035,P22.edf,3,START_DRAWING,.,.,76,74,304,2,8686.632,FEWEST,3235618,8675,3244293,Practice1
1943,P22.edf,3,Chose_Right,[3],3,8749,8608,8749,910,8686.632,FEWEST,3235618,8675,3244293,Practice1
1944,P22.edf,3,ChoseRight,[3],3,8749,8608,8749,911,8686.632,FEWEST,3235618,8675,3244293,Practice1
1947,P22.edf,4,START_DRAWING,[2],2,83,80,232,3,8963.741,FEWEST,3258850,8946,3267796,Practice1
2768,P22.edf,4,Chose_Right,[3],3,9026,8286,9026,824,8963.741,FEWEST,3258850,8946,3267796,Practice1
2770,P22.edf,5,START_DRAWING,.,.,82,80,526,2,2653.3740000000003,FEWEST,3277600,2636,3280236,Practice1
2930,P22.edf,5,Chose_Right,[2],2,2716,2512,2716,162,2653.3740000000003,FEWEST,3277600,2636,3280236,Practice1
2931,P22.edf,5,ChoseRight,[2],2,2716,2512,2716,163,2653.3740000000003,FEWEST,3277600,2636,3280236,Practice1
2933,P22.edf,6,START_DRAWING,.,.,84,82,464,2,3622.1020000000003,FEWEST,3287050,3602,3290652,Practice1
3198,P22.edf,6,TRACKER_TIME 4 3289968.933,[3],3,3001,2804,3274,267,3622.1020000000003,FEWEST,3287050,3602,3290652,Practice1
3280,P22.edf,6,Chose_Left,[2],2,3684,3352,3684,349,3622.1020000000003,FEWEST,3287050,3602,3290652,Practice1
3282,P22.edf,7,START_DRAWING,.,.,83,81,314,2,9015.304,FEWEST,3295167,8997,3304164,Practice1
4153,P22.edf,7,Chose_Right,[3],3,9078,8680,9078,873,9015.304,FEWEST,3295167,8997,3304164,Practice1
4155,P22.edf,8,START_DRAWING,.,.,75,74,310,2,10348.071,FEWEST,3309150,10333,3319483,Practice1
5239,P22.edf,8,Chose_Left,[2],2,10407,10402,10407,1086,10348.071,FEWEST,3309150,10333,3319483,Practice1
5240,P22.edf,8,ChoseLeft,[2],2,10407,10402,10407,1087,10348.071,FEWEST,3309150,10333,3319483,Practice1
5242,P22.edf,9,START_DRAWING,.,.,77,75,302,2,8040.831999999999,FEWEST,3324849,8025,3332874,Practice1
6097,P22.edf,9,Chose_Right,[3],3,8100,7382,8100,857,8040.831999999999,FEWEST,3324849,8025,3332874,Practice1
6099,P22.edf,10,START_DRAWING,.,.,74,72,318,2,7147.7880000000005,FEWEST,3337932,7142,3345074,Practice1
6803,P22.edf,10,Chose_Right,[3],3,7214,6784,7214,706,7147.7880000000005,FEWEST,3337932,7142,3345074,Practice1
6804,P22.edf,10,ChoseRight,[3],3,7214,6784,7214,707,7147.7880000000005,FEWEST,3337932,7142,3345074,Practice1
6806,P22.edf,11,START_DRAWING,.,.,68,67,362,2,3631.6409999999996,MOST,3360599,3627,3364226,Practice1
7151,P22.edf,11,Chose_Left,[2],2,3694,3208,3694,347,3631.6409999999996,MOST,3360599,3627,3364226,Practice1
7152,P22.edf,11,ChoseLeft,[2],2,3694,3208,3694,348,3631.6409999999996,MOST,3360599,3627,3364226,Practice1
7154,P22.edf,12,START_DRAWING,.,.,80,78,298,2,4057.566,MOST,3368082,4041,3372123,Practice1
7558,P22.edf,12,Chose_Left,[2],2,4119,3588,4119,406,4057.566,MOST,3368082,4041,3372123,Practice1
7560,P22.edf,13,START_DRAWING,.,.,83,81,296,2,3112.991,MOST,3375915,3095,3379010,Practice1
7883,P22.edf,13,Chose_Left,[2],2,3176,3102,3176,325,3112.991,MOST,3375915,3095,3379010,Practice1
7885,P22.edf,14,START_DRAWING,.,.,70,68,328,2,3194.328,MOST,3384148,3190,3387338,Practice1
8190,P22.edf,14,Chose_Right,[3],3,3258,2934,3258,307,3194.328,MOST,3384148,3190,3387338,Practice1
8191,P22.edf,14,ChoseRight,[3],3,3258,2934,3258,308,3194.328,MOST,3384148,3190,3387338,Practice1
8193,P22.edf,15,START_DRAWING,.,.,80,78,342,2,3623.6609999999996,MOST,3391314,3617,3394931,Practice1
8510,P22.edf,15,Chose_Left,[2],2,3695,3372,3695,319,3623.6609999999996,MOST,3391314,3617,3394931,Practice1
8511,P22.edf,15,ChoseLeft,[2],2,3695,3372,3695,320,3623.6609999999996,MOST,3391314,3617,3394931,Practice1
8513,P22.edf,16,START_DRAWING,.,.,70,68,328,2,4148.357,MOST,3399698,4143,3403841,Practice1
8945,P22.edf,16,Chose_Right,[3],3,4211,3822,4211,434,4148.357,MOST,3399698,4143,3403841,Practice1
8947,P22.edf,17,START_DRAWING,.,.,71,68,282,2,4142.6359999999995,MOST,3407980,4134,3412114,Practice1
9311,P22.edf,17,TRACKER_TIME 6 3411649.457,[2],2,3737,3626,4202,366,4142.6359999999995,MOST,3407980,4134,3412114,Practice1
9340,P22.edf,17,Chose_Left,[2],2,4202,3626,4202,395,4142.6359999999995,MOST,3407980,4134,3412114,Practice1
9341,P22.edf,17,ChoseLeft,[2],2,4202,3626,4202,396,4142.6359999999995,MOST,3407980,4134,3412114,Practice1
9343,P22.edf,18,START_DRAWING,.,.,79,77,108,2,6318.975,MOST,3415897,6305,3422202,Practice1
9955,P22.edf,18,Chose_Left,[2],2,6382,6022,6382,614,6318.975,MOST,3415897,6305,3422202,Practice1
9956,P22.edf,18,ChoseLeft,[2],2,6382,6022,6382,615,6318.975,MOST,3415897,6305,3422202,Practice1
