parcode,trial,rt,choice,item_left,item_right
1,0,4261.735,-1,110,131
1,1,3559.258,1,47,50
1,2,3754.4640000000004,1,50,44
1,3,2431.751,-1,57,50
1,4,2199.342,-1,42,50
1,5,3269.922,-1,108,110
1,6,6606.698,-1,78,80
1,7,3642.1459999999997,1,110,92
1,8,5213.48,1,50,48
1,9,5511.334,1,110,101
1,10,2007.957,-1,46,50
1,11,3124.5209999999997,1,80,83
1,12,1978.076,-1,50,56
1,13,2508.548,1,50,47
1,14,3907.2459999999996,1,110,124
1,15,3482.062,1,91,80
1,16,1823.3770000000002,-1,64,80
1,17,5111.944,-1,83,80
1,18,4920.474,-1,101,110
1,19,1869.935,-1,56,50
1,20,1705.8110000000001,-1,50,42
1,21,3083.54,-1,110,117
1,22,2474.714,-1,77,80
1,23,2272.349,-1,80,91
1,24,3790.48,-1,44,50
1,25,2046.0620000000001,-1,50,57
1,26,3822.2509999999997,1,50,46
1,27,3347.54,-1,110,108
1,28,2252.245,1,133,110
1,29,2083.424,1,131,110
1,30,4155.502,1,126,110
1,31,2550.939,-1,110,133
1,32,5814.5509999999995,-1,110,126
1,33,1428.2879999999998,-1,48,50
1,34,1743.991,-1,80,77
1,35,2329.644,1,117,110
1,36,3381.75,1,80,64
1,37,2209.993,-1,80,78
1,38,3602.313,1,124,110
1,39,2506.099,-1,92,110
1,80,7964.300999999998,1,128,110
1,81,1743.8239999999994,-1,50,58
1,82,2122.334,-1,54,50
1,83,2518.011,1,80,69
1,84,2201.475,-1,105,110
1,85,2131.478,-1,55,50
1,86,2017.4289999999999,-1,96,80
1,87,3241.381,1,80,75
1,88,2528.386,-1,110,128
1,89,1679.8729999999994,1,59,50
1,90,1513.221,-1,110,119
1,91,3359.407,1,52,50
1,92,3815.203,-1,58,50
1,93,4747.633,-1,119,110
1,94,3013.624000000001,-1,74,80
1,95,3695.847,-1,86,80
1,96,1818.684,-1,66,80
1,97,3040.837,-1,50,59
1,98,3156.8070000000002,-1,94,110
1,99,5926.643,1,110,87
1,100,4156.099,1,75,80
1,101,2333.893,1,50,45
1,102,2362.993,-1,89,110
1,103,1705.088,-1,80,94
1,104,1720.385,1,110,98
1,105,1728.2179999999994,-1,94,80
1,106,2498.348,1,110,94
1,107,3240.459000000001,1,80,66
1,108,2765.97,1,50,54
1,109,2998.353,1,98,110
1,110,2079.715,-1,50,52
1,111,1666.1029999999994,1,110,89
1,112,2426.928,-1,87,110
1,113,3263.2990000000004,1,110,105
1,114,1723.836,-1,80,96
1,115,1368.6429999999998,-1,80,86
1,116,1990.443,-1,50,55
1,117,2997.1259999999997,-1,80,74
1,118,1573.53,-1,45,50
1,119,2306.153,-1,69,80
1,160,2773.406,-1,50,53
1,161,2122.486,1,50,40
1,162,1541.2910000000006,-1,80,88
1,163,1792.184,-1,115,110
1,164,1719.1229999999994,-1,103,110
1,165,5485.479,1,90,80
1,166,4941.353,1,80,72
1,167,1580.2060000000001,1,93,80
1,168,3148.962,-1,80,90
1,169,2129.2,1,88,80
1,170,1528.68,-1,80,70
1,171,1442.214,-1,80,93
1,172,1628.017,-1,82,80
1,173,2346.231,1,50,41
1,174,3316.3390000000004,-1,96,110
1,175,3031.183,-1,80,85
1,176,2266.764,-1,60,50
1,177,1321.42,-1,41,50
1,178,2265.431,1,110,96
1,179,4164.13,-1,72,80
1,180,2726.3920000000007,-1,49,50
1,181,2464.949,1,43,50
1,182,1844.3139999999999,1,51,50
1,183,4667.099,1,112,110
