parcode,trial,rt,choice,item_left,item_right
1,40,1734.2839999999999,1,110,131
1,41,6555.37,-1,47,50
1,42,3174.566,-1,50,44
1,43,2877.579,1,57,50
1,44,1806.31,1,42,50
1,45,3636.816,-1,108,110
1,46,3650.2659999999996,1,78,80
1,47,3078.223,-1,110,92
1,48,1259.268,1,50,48
1,49,3440.738,-1,110,101
1,50,5698.026999999999,1,46,50
1,51,8224.466999999999,1,80,83
1,52,2626.1679999999997,1,50,56
1,53,1991.4129999999998,-1,50,47
1,54,1671.149,1,110,124
1,55,2607.607,-1,91,80
1,56,1527.826,1,64,80
1,57,5043.16,-1,83,80
1,58,2267.665,1,101,110
1,59,4499.543,-1,56,50
1,60,5571.061,-1,50,42
1,61,2045.641,1,110,117
1,62,1402.112,1,77,80
1,63,2736.625,1,80,91
1,64,2065.604,1,44,50
1,65,3058.203,1,50,57
1,66,1613.454,1,50,46
1,67,1931.4820000000002,1,110,108
1,68,4895.517,-1,133,110
1,69,3197.86,1,131,110
1,70,2000.6879999999999,1,126,110
1,71,1921.251,1,110,133
1,72,2050.4970000000008,1,110,126
1,73,2219.756,1,48,50
1,74,1635.473,1,80,77
1,75,5608.432,-1,117,110
1,76,4443.018,-1,80,64
1,77,2620.927,1,80,78
1,78,1725.9029999999998,1,124,110
1,79,3225.23,1,92,110
1,120,1686.53,-1,128,110
1,121,2010.5320000000002,1,50,58
1,122,2244.929,-1,54,50
1,123,2092.94,-1,80,69
1,124,1361.319,1,105,110
1,125,1596.589,1,55,50
1,126,2850.1209999999996,-1,96,80
1,127,1380.8970000000006,1,80,75
1,128,1391.672,1,110,128
1,129,2101.903,-1,59,50
1,130,1582.34,1,110,119
1,131,2320.312,-1,52,50
1,132,2184.782,-1,58,50
1,133,2602.6839999999997,-1,119,110
1,134,2890.742,1,74,80
1,135,1954.547,1,86,80
1,136,1901.984,1,66,80
1,137,3133.506,1,50,59
1,138,2545.4179999999997,1,94,110
1,139,2023.4679999999998,-1,110,87
1,140,3330.755,1,75,80
1,141,1866.57,-1,50,45
1,142,1604.858,1,89,110
1,143,2458.127,1,80,94
1,144,4970.6359999999995,-1,110,98
1,145,3115.157,-1,94,80
1,146,3128.098,-1,110,94
1,147,3745.136,-1,80,66
1,148,3673.3520000000003,1,50,54
1,149,4942.765,1,98,110
1,150,2224.593,-1,50,52
1,151,2997.098,1,110,89
1,152,1391.7379999999994,1,87,110
1,153,3340.985,-1,110,105
1,154,1648.785,1,80,96
1,155,1990.089,-1,80,86
1,156,2490.532,1,50,55
1,157,2508.0170000000007,-1,80,74
1,158,2293.524,1,45,50
1,159,3004.8179999999998,1,69,80
1,200,3496.366,1,50,53
1,201,2849.513,1,50,40
1,202,1540.3929999999998,1,80,88
1,203,2342.863,-1,115,110
1,204,2502.521,1,103,110
1,205,1799.6270000000006,-1,90,80
1,206,5352.23,1,80,72
1,207,2424.21,-1,93,80
1,208,1269.404,1,80,90
1,209,2779.2740000000013,-1,88,80
1,210,2537.132,-1,80,70
1,211,2351.272,1,80,93
1,212,2358.716,-1,82,80
1,213,2684.724,-1,50,41
1,214,1983.477,1,96,110
1,215,4650.79,1,80,85
1,216,3835.065,-1,60,50
1,217,3849.2059999999997,1,41,50
1,218,3243.343,-1,110,96
1,219,1644.5839999999994,1,72,80
1,220,1274.981,1,49,50
1,221,2589.055,1,43,50
1,222,2300.565,-1,51,50
1,223,2922.026,-1,112,110
1,224,1135.847,1,40,50
1,225,1991.672,1,50,51
1,226,1851.808,-1,85,80
1,227,1321.0339999999999,1,50,49
1,228,4003.1240000000003,1,50,43
1,229,1954.281,-1,80,82
1,230,2030.128,1,50,60
1,231,1964.125,-1,53,50
1,232,2014.069,-1,122,110
1,233,1598.829,1,67,80
1,234,1453.6029999999994,1,80,67
1,235,1977.727,1,70,80
1,236,1623.8970000000006,1,110,122
1,237,2901.364,1,110,115
1,238,1565.164,1,110,112
1,239,1559.884,1,110,103
2,0,6228.547,1,110,131
2,1,6635.751,1,47,50
2,2,4766.7440000000015,-1,50,44
2,3,10945.402,-1,57,50
2,4,5673.265,1,42,50
2,5,46657.359000000004,1,108,110
2,6,7750.691,-1,78,80
2,7,9776.843,-1,110,92
2,8,7758.235,1,50,48
2,9,44526.337,-1,110,101
2,10,10806.455,1,46,50
2,11,5936.281,1,80,83
2,12,22118.048,-1,50,56
2,13,7867.571999999999,-1,50,47
2,14,24336.379,1,110,124
2,15,12568.18,-1,91,80
2,16,7216.420999999998,1,64,80
2,17,24450.946,-1,83,80
2,18,20652.52,1,101,110
2,19,9962.632,-1,56,50
2,20,15264.738000000001,-1,50,42
2,21,14577.04,1,110,117
2,22,10502.538,-1,77,80
2,23,8938.346,1,80,91
2,24,8371.705,1,44,50
2,25,8634.889000000001,-1,50,57
2,26,9256.349,-1,50,46
2,27,98982.33,-1,110,108
2,28,71123.695,-1,133,110
2,29,14323.976999999999,1,131,110
2,30,11246.8,1,126,110
2,31,5729.5819999999985,1,110,133
