parcode,trial,fix_item,fix_time
1,40,0,232.0
1,40,1,1008.0
1,40,2,956.0
1,40,1,1030.0
1,40,2,642.0
1,40,1,393.7349999999997
1,41,0,511.0
1,41,1,706.0
1,41,2,640.0
1,41,1,790.0
1,41,2,912.2579999999998
1,42,0,434.0
1,42,1,1030.0
1,42,2,764.0
1,42,1,384.0
1,42,0,440.0
1,42,2,702.4640000000004
1,43,0,226.0
1,43,1,1072.0
1,43,2,796.0
1,43,1,337.7510000000002
1,44,0,3.0
1,44,1,1232.0
1,44,2,654.0
1,44,1,310.3420000000001
1,45,0,198.0
1,45,1,1028.0
1,45,2,1122.0
1,45,1,921.922
1,46,0,235.0
1,46,1,766.0
1,46,0,198.0
1,46,2,792.0
1,46,1,1062.0
1,46,2,784.0
1,46,1,1548.0
1,46,2,876.0
1,46,1,345.6980000000003
1,47,0,189.0
1,47,1,1386.0
1,47,0,244.0
1,47,2,962.0
1,47,1,542.0
1,47,2,319.14599999999973
1,48,0,487.0
1,48,1,1062.0
1,48,2,952.0
1,48,1,786.0
1,48,2,974.0
1,48,1,398.0
1,48,2,554.4799999999996
1,49,0,239.0
1,49,1,802.0
1,49,2,858.0
1,49,1,802.0
1,49,2,1016.0
1,49,1,698.0
1,49,2,1096.3339999999998
1,50,0,227.0
1,50,1,732.0
1,50,2,644.0
1,50,1,404.95700000000033
1,51,0,56.0
1,51,1,962.0
1,51,2,726.0
1,51,1,1008.0
1,51,2,372.52099999999973
1,52,0,215.0
1,52,1,640.0
1,52,2,696.0
1,52,1,427.076
1,53,3,119.0
1,53,1,764.0
1,53,2,586.0
1,53,1,638.0
1,53,2,401.5479999999998
1,54,0,243.0
1,54,1,596.0
1,54,2,724.0
1,54,1,778.0
1,54,2,786.0
1,54,1,384.0
1,54,2,396.24599999999964
1,55,0,4.0
1,55,1,1182.0
1,55,2,1050.0
1,55,1,832.0
1,55,2,414.0619999999999
1,56,0,177.0
1,56,1,594.0
1,56,2,610.0
1,56,1,442.3770000000002
1,57,0,205.0
1,57,1,2038.0
1,57,2,736.0
1,57,1,760.0
1,57,2,608.0
1,57,1,764.9440000000004
1,58,0,49.0
1,58,1,860.0
1,58,2,750.0
1,58,1,2154.0
1,58,2,736.0
1,58,1,371.47400000000016
1,59,0,189.0
1,59,1,596.0
1,59,2,642.0
1,59,1,442.93499999999995
1,60,0,149.0
1,60,1,574.0
1,60,2,566.0
1,60,1,416.81100000000015
1,61,0,285.0
1,61,1,902.0
1,61,2,738.0
1,61,1,1158.54
1,62,0,234.0
1,62,1,982.0
1,62,2,800.0
1,62,1,458.71399999999994
1,63,0,46.0
1,63,1,836.0
1,63,2,878.0
1,63,1,512.3490000000002
1,64,0,214.0
1,64,1,814.0
1,64,2,754.0
1,64,1,940.0
1,64,2,800.0
1,64,1,268.48
1,65,0,264.0
1,65,1,712.0
1,65,2,640.0
1,65,1,430.0619999999999
1,66,0,148.0
1,66,1,896.0
1,66,2,844.0
1,66,1,826.0
1,66,2,1108.2509999999997
1,67,0,182.0
1,67,1,786.0
1,67,2,638.0
1,67,1,892.0
1,67,2,464.0
1,67,1,385.53999999999996
1,68,0,197.0
1,68,1,1068.0
1,68,2,987.2449999999999
1,69,0,3.0
1,69,1,1122.0
1,69,2,958.424
1,70,0,266.0
1,70,1,1036.0
1,70,2,804.0
1,70,1,1572.0
1,70,2,477.5020000000004
1,71,0,269.0
1,71,1,1078.0
1,71,2,790.0
1,71,1,413.93899999999985
1,72,0,75.0
1,72,1,2346.0
1,72,2,820.0
1,72,1,2036.0
1,72,2,537.5509999999995
1,73,0,116.0
1,73,1,512.0
1,73,2,800.2879999999998
1,74,0,216.0
1,74,1,580.0
1,74,2,524.0
1,74,1,423.991
1,75,0,52.0
1,75,1,540.0
1,75,2,570.0
1,75,1,694.0
1,75,2,473.6439999999998
1,76,0,328.0
1,76,1,746.0
1,76,2,756.0
1,76,1,1170.0
1,76,2,381.75
1,77,0,274.0
1,77,1,980.0
1,77,2,602.0
1,77,1,353.99299999999994
1,78,0,171.0
1,78,1,772.0
1,78,2,674.0
1,78,1,844.0
1,78,2,1141.313
1,79,0,191.0
1,79,1,1144.0
1,79,2,816.0
1,79,1,355.09900000000016
1,120,0,269.0
1,120,1,1738.0
1,120,2,1512.0
1,120,0,426.0
1,120,1,1456.0
1,120,2,1306.0
1,120,1,730.0
1,120,2,527.3009999999995
1,121,0,159.0
1,121,1,472.0
1,121,2,560.0
1,121,1,552.8239999999998
1,122,3,13.0
1,122,1,758.0
1,122,2,634.0
1,122,1,717.3339999999998
1,123,3,41.0
1,123,1,990.0
1,123,2,784.0
1,123,1,703.011
1,124,0,72.0
1,124,1,696.0
1,124,2,882.0
1,124,1,551.4749999999999
1,125,0,180.0
1,125,1,606.0
1,125,2,766.0
1,125,1,579.4780000000001
1,126,0,166.0
1,126,1,844.0
1,126,2,608.0
1,126,1,399.4290000000001
1,127,0,126.0
1,127,1,642.0
1,127,2,722.0
1,127,1,692.0
1,127,2,1059.3809999999999
1,128,3,26.0
1,128,1,1312.0
1,128,2,708.0
1,128,1,482.38599999999997
1,129,0,132.0
1,129,1,688.0
1,129,2,859.8729999999998
1,130,0,175.0
1,130,1,490.0
1,130,2,484.0
1,130,1,364.221
1,131,0,253.0
1,131,1,562.0
1,131,2,732.0
1,131,1,706.0
1,131,2,1106.4070000000002
1,132,0,216.0
1,132,1,552.0
1,132,2,594.0
1,132,1,716.0
1,132,2,978.0
1,132,1,759.203
1,133,0,240.0
1,133,1,778.0
1,133,2,900.0
1,133,1,870.0
1,133,2,1602.0
1,133,1,359.6329999999998
1,134,0,176.0
1,134,1,602.0
1,134,2,868.0
1,134,1,744.0
1,134,2,623.6240000000003
1,135,0,228.0
1,135,1,1026.0
1,135,2,956.0
1,135,1,928.0
1,135,2,557.8470000000002
1,136,0,38.0
1,136,1,654.0
1,136,2,596.0
1,136,1,530.684
1,137,0,35.0
1,137,1,1662.0
1,137,2,702.0
1,137,1,641.837
1,138,0,63.0
1,138,1,1718.0
1,138,0,350.0
1,138,2,646.0
1,138,1,379.80700000000024
1,139,0,202.0
1,139,1,2012.0
1,139,2,816.0
1,139,1,1892.0
1,139,2,1004.643
1,140,3,0.0
1,140,1,823.0
1,140,2,1970.0
1,140,1,806.0
1,140,2,562.0990000000002
1,141,0,30.0
1,141,1,608.0
1,141,2,940.0
1,141,1,755.893
1,142,0,254.0
1,142,1,280.0
1,142,2,720.0
1,142,1,654.0
1,142,2,454.99299999999994
1,143,0,154.0
1,143,1,834.0
1,143,2,717.088
1,144,3,13.0
1,144,1,410.0
1,144,2,642.0
1,144,1,655.385
1,145,0,225.0
1,145,1,550.0
1,145,2,662.0
1,145,1,291.21799999999985
1,146,3,13.0
1,146,1,518.0
1,146,2,612.0
1,146,1,802.0
1,146,2,553.348
1,147,0,149.0
1,147,1,520.0
1,147,2,552.0
1,147,1,784.0
1,147,2,1235.4590000000003
1,148,0,179.0
1,148,1,716.0
1,148,2,702.0
1,148,1,654.0
1,148,2,514.9699999999998
1,149,0,185.0
1,149,1,906.0
1,149,2,752.0
1,149,1,712.0
1,149,2,443.35300000000007
