parcode,trial,fix_item,fix_time
1,80,0,171.0
1,80,1,868.0
1,80,0,266.0
1,80,2,429.2839999999999
1,81,0,235.0
1,81,1,314.0
1,81,2,680.0
1,81,1,696.0
1,81,2,770.0
1,81,1,1490.0
1,81,0,288.0
1,81,1,2082.37
1,82,0,161.0
1,82,1,696.0
1,82,2,632.0
1,82,1,704.0
1,82,2,726.0
1,82,1,255.5659999999998
1,83,0,136.0
1,83,1,832.0
1,83,2,620.0
1,83,1,836.0
1,83,2,453.5790000000002
1,84,0,150.0
1,84,1,866.0
1,84,2,790.31
1,85,0,67.0
1,85,1,574.0
1,85,0,376.0
1,85,2,638.0
1,85,1,778.0
1,85,2,768.0
1,85,1,435.8159999999998
1,86,0,61.0
1,86,1,2448.0
1,86,2,1141.2659999999996
1,87,0,240.0
1,87,1,604.0
1,87,2,682.0
1,87,1,512.0
1,87,2,552.0
1,87,1,488.22299999999996
1,88,0,216.0
1,88,1,530.0
1,88,2,513.268
1,89,0,248.0
1,89,1,746.0
1,89,2,730.0
1,89,1,684.0
1,89,2,680.0
1,89,1,352.73799999999983
1,90,0,1867.0
1,90,1,1508.0
1,90,2,690.0
1,90,1,722.0
1,90,2,911.0269999999991
1,91,0,274.0
1,91,1,1166.0
1,91,2,742.0
1,91,1,848.0
1,91,2,876.0
1,91,1,2122.0
1,91,2,1012.0
1,91,1,862.0
1,91,2,322.46699999999873
1,92,0,147.0
1,92,1,958.0
1,92,2,698.0
1,92,1,694.0
1,92,2,129.16799999999967
1,93,3,8.0
1,93,1,796.0
1,93,2,596.0
1,93,1,591.4129999999996
1,94,0,187.0
1,94,1,754.0
1,94,2,730.1489999999999
1,95,3,39.0
1,95,1,1094.0
1,95,2,652.0
1,95,1,822.607
1,96,0,172.0
1,96,1,642.0
1,96,2,713.826
1,97,0,172.0
1,97,1,806.0
1,97,2,574.0
1,97,1,520.0
1,97,2,958.0
1,97,1,906.0
1,97,2,862.0
1,97,1,245.15999999999985
1,98,0,283.0
1,98,1,1098.0
1,98,2,886.665
1,99,0,249.0
1,99,1,1152.0
1,99,2,736.0
1,99,1,1102.0
1,99,2,866.0
1,99,1,394.54299999999967
1,100,0,664.0
1,100,1,1066.0
1,100,2,976.0
1,100,1,774.0
1,100,2,1108.0
1,100,1,983.0609999999997
1,101,0,132.0
1,101,1,1260.0
1,101,2,653.6410000000001
1,102,0,176.0
1,102,1,534.0
1,102,2,692.1120000000001
1,103,0,67.0
1,103,1,1034.0
1,103,2,662.0
1,103,1,476.0
1,103,2,497.625
1,104,0,8.0
1,104,1,936.0
1,104,0,286.0
1,104,2,835.6039999999998
1,105,0,192.0
1,105,1,994.0
1,105,2,582.0
1,105,1,598.0
1,105,2,692.203
1,106,0,195.0
1,106,1,688.0
1,106,2,730.454
1,107,3,48.0
1,107,1,1036.0
1,107,2,847.4820000000002
1,108,0,55.0
1,108,1,2124.0
1,108,2,662.0
1,108,1,766.0
1,108,2,798.0
1,108,1,490.5169999999998
1,109,0,183.0
1,109,1,1176.0
1,109,2,734.0
1,109,1,484.0
1,109,0,142.0
1,109,2,478.8600000000001
1,110,0,260.0
1,110,1,890.0
1,110,2,850.6880000000001
1,111,0,228.0
1,111,1,1012.0
1,111,2,681.251
1,112,3,52.0
1,112,1,1044.0
1,112,2,954.4970000000003
1,113,0,226.0
1,113,1,584.0
1,113,2,1409.7559999999999
1,114,0,192.0
1,114,1,710.0
1,114,0,84.0
1,114,2,649.473
1,115,0,42.0
1,115,1,902.0
1,115,2,898.0
1,115,1,376.0
1,115,2,736.0
1,115,1,878.0
1,115,2,1036.0
1,115,1,740.4319999999998
1,116,0,193.0
1,116,1,938.0
1,116,2,996.0
1,116,1,888.0
1,116,2,844.0
1,116,1,584.018
1,117,0,200.0
1,117,1,640.0
1,117,2,740.0
1,117,1,630.0
1,117,2,410.92700000000013
1,118,0,187.0
1,118,1,860.0
1,118,2,678.9029999999998
1,119,0,30.0
1,119,1,994.0
1,119,2,782.0
1,119,1,856.0
1,119,2,563.23
1,160,0,51.0
1,160,1,590.0
1,160,2,560.0
1,160,1,485.53
1,161,3,2.0
1,161,1,488.0
1,161,2,616.0
1,161,1,570.0
1,161,2,334.53200000000015
1,162,0,15.0
1,162,1,736.0
1,162,2,664.0
1,162,1,829.9290000000001
1,163,3,0.0
1,163,1,676.0
1,163,2,728.0
1,163,1,690.94
1,164,0,19.0
1,164,1,648.0
1,164,2,694.319
1,165,0,72.0
1,165,1,694.0
1,165,2,830.5889999999999
1,166,0,240.0
1,166,1,1072.0
1,166,2,786.0
1,166,1,752.1209999999996
