parcode,trial,rt,choice,item_left,item_right
0,0,5180,1,1,1
0,1,2820,-1,1,1
0,2,6450,-1,1,1
0,3,2710,1,1,1
0,4,5160,1,1,1
0,5,1600,-1,1,1
0,6,760,-1,1,1
0,7,23900,1,1,1
0,8,3870,1,1,1
0,9,1250,1,1,1
0,10,2120,-1,1,1
0,11,4820,-1,1,1
0,12,13740,1,1,1
0,13,2880,-1,1,1
0,14,860,-1,1,1
0,15,1730,1,1,1
0,16,2380,-1,1,1
0,17,1170,1,1,1
0,18,1830,1,1,1
0,19,2200,-1,1,1
0,20,1650,-1,1,1
0,21,4010,1,1,1
0,22,2050,1,1,1
0,23,7990,1,1,1
0,24,3860,1,1,1
0,25,2440,-1,1,1
0,26,1800,1,1,1
0,27,820,1,1,1
0,28,4140,-1,1,1
0,29,4240,-1,1,1
0,30,2270,1,1,1
0,31,1620,-1,1,1
0,32,1340,1,1,1
0,33,1800,1,1,1
0,34,2470,1,1,1
0,35,1810,1,1,1
0,36,1960,1,1,1
0,37,2140,1,1,1
0,38,4160,1,1,1
0,39,7070,1,1,1
0,40,1240,1,1,1
0,41,5760,1,1,1
0,42,4970,1,1,1
0,43,4780,1,1,1
0,44,1430,-1,1,1
0,45,4190,1,1,1
0,46,3150,1,1,1
0,47,680,1,1,1
0,48,1660,1,1,1
0,49,2540,-1,1,1
0,50,1080,-1,1,1
0,51,3250,-1,1,1
0,52,3740,1,1,1
0,53,4230,1,1,1
0,54,2030,1,1,1
0,55,2360,1,1,1
0,56,7200,-1,1,1
0,57,5240,1,1,1
0,58,3980,1,1,1
0,59,1460,1,1,1
0,60,1420,1,1,1
0,61,2750,-1,1,1
0,62,2270,-1,1,1
0,63,2720,1,1,1
0,64,10480,1,1,1
0,65,11220,-1,1,1
0,66,11670,1,1,1
0,67,1640,1,1,1
0,68,4130,1,1,1
0,69,770,1,1,1
0,70,3890,1,1,1
0,71,1320,1,1,1
0,72,1250,-1,1,1
0,73,8410,1,1,1
0,74,1020,1,1,1
0,75,2680,1,1,1
0,76,1870,1,1,1
0,77,4030,1,1,1
0,78,1180,1,1,1
0,79,15120,1,1,1
0,80,1730,1,1,1
0,81,1600,1,1,1
0,82,910,1,1,1
0,83,1800,1,1,1
0,84,1800,1,1,1
0,85,1260,-1,1,1
0,86,6410,1,1,1
0,87,5180,1,1,1
0,88,2730,1,1,1
0,89,1080,1,1,1
0,90,1690,-1,1,1
0,91,4760,1,1,1
0,92,2180,1,1,1
0,93,1620,1,1,1
0,94,4070,1,1,1
0,95,4320,-1,1,1
0,96,3570,-1,1,1
0,97,4850,1,1,1
0,98,6360,1,1,1
0,99,9190,1,1,1
0,100,1380,1,-1,-1
0,101,5220,-1,-1,-1
0,102,2630,1,-1,-1
0,103,16030,1,-1,-1
0,104,4380,1,-1,-1
0,105,4730,1,-1,-1
0,106,1790,-1,-1,-1
0,107,2150,1,-1,-1
0,108,4650,1,-1,-1
0,109,6120,1,-1,-1
0,110,4440,-1,-1,-1
0,111,2990,1,-1,-1
0,112,3860,-1,-1,-1
0,113,1850,1,-1,-1
0,114,8570,-1,-1,-1
0,115,3770,1,-1,-1
0,116,5300,-1,-1,-1
0,117,4580,1,-1,-1
0,118,1040,1,-1,-1
0,119,1480,-1,-1,-1
0,120,20010,1,-1,-1
0,121,4290,1,-1,-1
0,122,5000,1,-1,-1
0,123,2340,1,-1,-1
0,124,1810,-1,-1,-1
0,125,2080,-1,-1,-1
0,126,1130,-1,-1,-1
0,127,2140,-1,-1,-1
0,128,6070,1,-1,-1
0,129,2740,1,-1,-1
0,130,1670,1,-1,-1
0,131,7120,1,-1,-1
0,132,6910,1,-1,-1
0,133,6450,-1,-1,-1
0,134,13710,1,-1,-1
0,135,900,1,-1,-1
0,136,4760,-1,-1,-1
0,137,2700,-1,-1,-1
0,138,570,1,-1,-1
0,139,4370,-1,-1,-1
0,140,900,1,-1,-1
0,141,4430,-1,-1,-1
0,142,950,1,-1,-1
0,143,3030,1,-1,-1
0,144,10710,1,-1,-1
0,145,1100,1,-1,-1
0,146,1270,-1,-1,-1
0,147,2920,1,-1,-1
0,148,6480,-1,-1,-1
0,149,2420,-1,-1,-1
0,150,1760,1,-1,-1
0,151,7610,1,-1,-1
0,152,3540,1,-1,-1
0,153,5970,-1,-1,-1
0,154,6410,-1,-1,-1
0,155,1310,-1,-1,-1
0,156,4410,1,-1,-1
0,157,1140,1,-1,-1
0,158,550,1,-1,-1
0,159,1270,-1,-1,-1
0,160,7530,1,-1,-1
0,161,2170,1,-1,-1
0,162,7540,1,-1,-1
0,163,8300,1,-1,-1
0,164,8400,1,-1,-1
0,165,2030,1,-1,-1
0,166,2890,1,-1,-1
0,167,3730,1,-1,-1
0,168,6180,-1,-1,-1
0,169,1800,-1,-1,-1
0,170,2410,-1,-1,-1
0,171,13870,1,-1,-1
0,172,11050,1,-1,-1
0,173,11850,1,-1,-1
0,174,4140,1,-1,-1
0,175,870,1,-1,-1
0,176,3010,1,-1,-1
0,177,3950,-1,-1,-1
0,178,1060,1,-1,-1
0,179,2850,1,-1,-1
0,180,6540,1,-1,-1
0,181,5930,1,-1,-1
0,182,9370,1,-1,-1
0,183,970,1,-1,-1
0,184,9040,1,-1,-1
0,185,870,-1,-1,-1
0,186,2490,1,-1,-1
0,187,2310,-1,-1,-1
0,188,7550,1,-1,-1
0,189,11410,1,-1,-1
0,190,6670,1,-1,-1
0,191,5970,1,-1,-1
0,192,2130,-1,-1,-1
0,193,3900,-1,-1,-1
0,194,4970,1,-1,-1
0,195,4880,-1,-1,-1
0,196,2230,1,-1,-1
0,197,13680,1,-1,-1
0,198,4970,1,-1,-1
0,199,10310,1,-1,-1
0,200,7430,1,-1,-1
0,201,3100,1,-1,-1
0,202,2390,1,-1,-1
0,203,660,-1,-1,-1
0,204,1490,1,-1,-1
0,205,12380,-1,-1,-1
0,206,3980,1,-1,-1
0,207,1410,1,-1,-1
0,208,3310,1,-1,-1
0,209,1430,1,-1,-1
0,210,1210,1,-1,-1
0,211,2970,-1,-1,-1
0,212,670,1,-1,-1
0,213,5250,-1,-1,-1
0,214,7070,1,-1,-1
0,215,6290,1,-1,-1
0,216,2800,1,-1,-1
0,217,2810,1,-1,-1
0,218,4380,-1,-1,-1
0,219,3970,1,-1,-1
0,220,5640,1,-1,-1
0,221,7380,1,-1,-1
0,222,3770,-1,-1,-1
0,223,2190,-1,-1,-1
0,224,7220,1,-1,-1
0,225,4180,-1,-1,-1
0,226,1150,1,-1,-1
0,227,4060,1,-1,-1
0,228,2140,1,-1,-1
0,229,5840,-1,-1,-1
0,230,3120,-1,-1,-1
0,231,3440,-1,-1,-1
0,232,1180,-1,-1,-1
0,233,780,-1,-1,-1
0,234,2590,1,-1,-1
0,235,17210,-1,-1,-1
0,236,1700,1,-1,-1
0,237,3440,-1,-1,-1
0,238,800,1,-1,-1
0,239,3280,-1,-1,-1
0,240,2210,-1,-1,-1
0,241,6320,-1,-1,-1
0,242,2260,1,-1,-1
0,243,1490,1,-1,-1
0,244,7400,1,-1,-1
0,245,1450,-1,-1,-1
0,246,690,-1,-1,-1
0,247,820,-1,-1,-1
0,248,2240,-1,-1,-1
0,249,2660,1,-1,-1
0,250,6860,1,-1,-1
0,251,10580,1,-1,-1
0,252,730,-1,-1,-1
0,253,8590,1,-1,-1
0,254,3180,1,-1,-1
0,255,8180,1,-1,-1
0,256,400,1,-1,-1
0,257,4790,-1,-1,-1
0,258,8390,1,-1,-1
0,259,10230,-1,-1,-1
0,260,3280,-1,-1,-1
0,261,4160,-1,-1,-1
0,262,3480,1,-1,-1
0,263,2810,-1,-1,-1
0,264,2560,1,-1,-1
0,265,6530,-1,-1,-1
0,266,2380,-1,-1,-1
0,267,2490,-1,-1,-1
0,268,1930,1,-1,-1
0,269,1100,-1,-1,-1
0,270,3050,-1,-1,-1
0,271,3100,-1,-1,-1
0,272,850,1,-1,-1
0,273,1290,1,-1,-1
0,274,2450,1,-1,-1
0,275,3860,-1,-1,-1
0,276,1950,-1,-1,-1
0,277,2680,1,-1,-1
0,278,1920,-1,-1,-1
0,279,1430,1,-1,-1
0,280,1540,-1,-1,-1
0,281,8460,1,-1,-1
0,282,1350,-1,-1,-1
0,283,7180,-1,-1,-1
0,284,11450,1,-1,-1
0,285,4850,-1,-1,-1
0,286,1340,-1,-1,-1
0,287,2320,1,-1,-1
0,288,2080,1,-1,-1
0,289,3990,1,-1,-1
0,290,1550,-1,-1,-1
0,291,3470,-1,-1,-1
0,292,970,-1,-1,-1
0,293,7210,1,-1,-1
0,294,8130,1,-1,-1
0,295,1380,-1,-1,-1
0,296,1100,-1,-1,-1
0,297,720,-1,-1,-1
0,298,1730,-1,-1,-1
0,299,8630,-1,-1,-1
0,300,8890,-1,0,-1
0,301,5160,-1,0,-1
0,302,2490,-1,0,-1
0,303,2040,-1,0,-1
0,304,10900,-1,0,-1
0,305,1300,-1,0,-1
0,306,1980,1,0,-1
0,307,2090,1,0,-1
0,308,1580,1,0,-1
0,309,1080,1,0,-1
0,310,1390,-1,0,-1
0,311,12230,-1,0,-1
0,312,12040,-1,0,-1
0,313,9150,1,0,-1
0,314,7350,-1,0,-1
0,315,2170,1,0,-1
0,316,8840,-1,0,-1
0,317,4170,-1,0,-1
0,318,7290,1,0,-1
0,319,7940,-1,0,-1
0,320,1550,-1,0,-1
0,321,4370,-1,0,-1
0,322,3760,-1,0,-1
0,323,2170,1,0,-1
0,324,9980,-1,0,-1
