parcode,trial,rt,choice,item_left,item_right
0,0,1640,-1,0,0
0,1,10000,1,0,0
0,2,2580,1,0,0
0,3,3010,1,0,0
0,4,3000,-1,0,0
0,5,4510,-1,0,0
0,6,2230,1,0,0
0,7,4610,-1,0,0
0,8,8860,1,0,0
0,9,16570,-1,0,0
0,10,3980,1,0,0
0,11,3460,-1,0,0
0,12,2090,1,0,0
0,13,4010,-1,0,0
0,14,9410,-1,0,0
0,15,1060,-1,0,0
0,16,9690,-1,0,0
0,17,9170,-1,0,0
0,18,3850,-1,0,0
0,19,5580,1,0,0
0,20,13700,-1,0,0
0,21,4050,1,0,0
0,22,5970,-1,0,0
0,23,2830,1,0,0
0,24,1210,-1,0,0
0,25,4530,1,0,0
0,26,8850,1,0,0
0,27,1640,-1,0,0
0,28,1940,-1,0,0
0,29,2780,1,0,0
0,30,2760,-1,0,0
0,31,2010,1,0,0
0,32,1990,-1,0,0
0,33,840,-1,0,0
0,34,3810,-1,0,0
0,35,3320,-1,0,0
0,36,4050,-1,0,0
0,37,1720,1,0,0
0,38,6590,-1,0,0
0,39,1870,1,0,0
0,40,1310,1,0,0
0,41,3560,1,0,0
0,42,1860,-1,0,0
0,43,1570,1,0,0
0,44,2470,1,0,0
0,45,6980,-1,0,0
0,46,3130,1,0,0
0,47,1360,-1,0,0
0,48,1750,1,0,0
0,49,1030,1,0,0
0,50,9470,1,0,0
0,51,4190,1,0,0
0,52,5840,1,0,0
0,53,10700,1,0,0
0,54,970,1,0,0
0,55,1430,1,0,0
0,56,1910,-1,0,0
0,57,1030,-1,0,0
0,58,2410,-1,0,0
0,59,2900,1,0,0
0,60,2020,-1,0,0
0,61,4580,1,0,0
0,62,1020,1,0,0
0,63,5370,-1,0,0
0,64,2830,1,0,0
0,65,8330,-1,0,0
0,66,1370,1,0,0
0,67,1300,-1,0,0
0,68,7440,1,0,0
0,69,9170,-1,0,0
0,70,2160,1,0,0
0,71,5350,-1,0,0
0,72,2200,1,0,0
0,73,3240,1,0,0
0,74,4980,1,0,0
0,75,2230,1,0,0
0,76,2750,1,0,0
0,77,1890,1,0,0
0,78,3650,-1,0,0
0,79,1250,-1,0,0
0,80,3260,1,0,0
0,81,7620,-1,0,0
0,82,2890,1,0,0
0,83,5400,-1,0,0
0,84,3530,-1,0,0
0,85,10960,1,0,0
0,86,6670,1,0,0
0,87,15700,-1,0,0
0,88,1840,1,0,0
0,89,3760,-1,0,0
0,90,3770,1,0,0
0,91,3830,-1,0,0
0,92,1330,1,0,0
0,93,1880,-1,0,0
0,94,4910,-1,0,0
0,95,20960,1,0,0
0,96,2060,1,0,0
0,97,2910,-1,0,0
0,98,6360,1,0,0
0,99,3630,-1,0,0
0,100,4400,-1,0,0
0,101,16010,-1,0,0
0,102,4660,1,0,0
0,103,1210,-1,0,0
0,104,2920,-1,0,0
0,105,7900,1,0,0
0,106,4810,1,0,0
0,107,9850,-1,0,0
0,108,9020,-1,0,0
0,109,2790,-1,0,0
0,110,3750,1,0,0
0,111,2880,-1,0,0
0,112,9090,-1,0,0
0,113,6530,-1,0,0
0,114,1920,-1,0,0
0,115,6290,1,0,0
0,116,1310,-1,0,0
0,117,7440,-1,0,0
0,118,6930,-1,0,0
0,119,3320,1,0,0
0,120,780,1,0,0
0,121,6910,1,0,0
0,122,1900,-1,0,0
0,123,2790,-1,0,0
0,124,11170,1,0,0
0,125,3760,-1,0,0
0,126,1680,-1,0,0
0,127,2040,1,0,0
0,128,2280,-1,0,0
0,129,480,-1,0,0
0,130,1510,-1,0,0
0,131,2090,1,0,0
0,132,4170,1,0,0
0,133,3680,1,0,0
0,134,9470,1,0,0
0,135,570,-1,0,0
0,136,6480,1,0,0
0,137,5220,1,0,0
0,138,1370,1,0,0
0,139,5450,-1,0,0
0,140,3090,1,0,0
0,141,2690,1,0,0
0,142,3620,1,0,0
0,143,8590,1,0,0
0,144,2550,1,0,0
0,145,4120,-1,0,0
0,146,7590,-1,0,0
0,147,2870,1,0,0
0,148,1950,-1,0,0
0,149,5480,-1,0,0
0,150,6310,1,0,0
0,151,1300,-1,0,0
0,152,580,1,0,0
0,153,8590,1,0,0
0,154,7150,1,0,0
0,155,1150,1,0,0
0,156,5040,1,0,0
0,157,7050,-1,0,0
0,158,9950,-1,0,0
0,159,3050,1,0,0
0,160,1630,1,0,0
0,161,2190,1,0,0
0,162,4920,-1,0,0
0,163,4350,-1,0,0
0,164,3820,1,0,0
0,165,7000,-1,0,0
0,166,6980,-1,0,0
0,167,3750,1,0,0
0,168,1480,-1,0,0
0,169,5390,-1,0,0
0,170,870,-1,0,0
0,171,4210,1,0,0
0,172,2310,-1,0,0
0,173,3530,1,0,0
0,174,5930,1,0,0
0,175,6150,1,0,0
0,176,1830,1,0,0
0,177,13160,-1,0,0
0,178,5860,-1,0,0
0,179,1930,-1,0,0
0,180,550,-1,0,0
0,181,2530,1,0,0
0,182,10420,-1,0,0
0,183,2150,1,0,0
0,184,3410,-1,0,0
0,185,1000,-1,0,0
0,186,2720,-1,0,0
0,187,4910,-1,0,0
0,188,1570,1,0,0
0,189,1190,-1,0,0
0,190,13440,-1,0,0
0,191,8490,-1,0,0
0,192,1730,-1,0,0
0,193,1480,1,0,0
0,194,4340,1,0,0
0,195,1360,1,0,0
0,196,1420,1,0,0
0,197,14000,-1,0,0
0,198,7520,-1,0,0
0,199,1500,1,0,0
0,200,9850,1,0,0
0,201,11200,1,0,0
0,202,4860,-1,0,0
0,203,1310,-1,0,0
0,204,4440,1,0,0
0,205,2420,1,0,0
0,206,4000,-1,0,0
0,207,920,1,0,0
0,208,2990,1,0,0
0,209,8390,1,0,0
0,210,2930,1,0,0
0,211,5720,-1,0,0
0,212,1130,-1,0,0
0,213,2330,-1,0,0
0,214,1370,-1,0,0
0,215,5410,1,0,0
0,216,6740,1,0,0
0,217,1290,-1,0,0
0,218,1310,-1,0,0
0,219,2170,-1,0,0
0,220,3370,1,0,0
0,221,6270,1,0,0
0,222,1700,-1,0,0
0,223,6440,1,0,0
0,224,3390,1,0,0
0,225,850,-1,0,0
0,226,15650,1,0,0
0,227,4000,1,0,0
0,228,3630,-1,0,0
0,229,1450,-1,0,0
0,230,2210,1,0,0
0,231,11630,-1,0,0
