parcode,trial,rt,choice,item_left,item_right
0,0,2360,1,0,0
0,1,4140,1,0,0
0,2,610,1,0,0
0,3,2580,1,0,0
0,4,1620,1,0,0
0,5,3550,1,0,0
0,6,10740,-1,0,0
0,7,2000,-1,0,0
0,8,1790,1,0,0
0,9,4690,1,0,0
0,10,1200,-1,0,0
0,11,4170,1,0,0
0,12,6490,1,0,0
0,13,970,-1,0,0
0,14,2240,-1,0,0
0,15,7170,-1,0,0
0,16,1210,1,0,0
0,17,3240,-1,0,0
0,18,460,-1,0,0
0,19,5250,-1,0,0
0,20,3200,1,0,0
0,21,1310,-1,0,0
0,22,6880,-1,0,0
0,23,5260,1,0,0
0,24,1550,-1,0,0
0,25,8300,1,0,0
0,26,3270,-1,0,0
0,27,2230,-1,0,0
0,28,1300,1,0,0
0,29,2530,1,0,0
0,30,520,1,0,0
0,31,2810,-1,0,0
0,32,5990,-1,0,0
0,33,5970,1,0,0
0,34,2230,-1,0,0
0,35,4790,-1,0,0
0,36,2640,-1,0,0
0,37,7410,1,0,0
0,38,14800,1,0,0
0,39,3960,-1,0,0
0,40,1070,-1,0,0
0,41,11620,1,0,0
0,42,1400,-1,0,0
0,43,4940,1,0,0
0,44,10790,-1,0,0
0,45,9300,-1,0,0
0,46,1390,-1,0,0
0,47,1240,-1,0,0
0,48,4400,-1,0,0
0,49,4080,1,0,0
0,50,3870,1,0,0
0,51,1000,1,0,0
0,52,940,1,0,0
0,53,2700,1,0,0
0,54,1850,-1,0,0
0,55,1190,1,0,0
0,56,1730,-1,0,0
0,57,14670,1,0,0
0,58,3910,1,0,0
0,59,3100,1,0,0
0,60,1680,1,0,0
0,61,6090,1,0,0
0,62,1300,1,0,0
0,63,1640,-1,0,0
0,64,1370,-1,0,0
0,65,1380,1,0,0
0,66,1920,1,0,0
0,67,10650,-1,0,0
0,68,2590,1,0,0
0,69,2640,1,0,0
0,70,7870,1,0,0
0,71,900,1,0,0
0,72,4130,1,0,0
0,73,2790,1,0,0
0,74,6460,-1,0,0
0,75,4670,1,0,0
0,76,2830,-1,0,0
0,77,9720,-1,0,0
0,78,7430,1,0,0
0,79,1180,-1,0,0
0,80,6600,1,0,0
0,81,2730,-1,0,0
0,82,19180,-1,0,0
0,83,4430,-1,0,0
0,84,1570,1,0,0
0,85,2530,-1,0,0
0,86,21070,1,0,0
0,87,3990,-1,0,0
0,88,1240,-1,0,0
0,89,10400,1,0,0
0,90,1520,-1,0,0
0,91,2780,-1,0,0
0,92,500,-1,0,0
0,93,3860,-1,0,0
0,94,15910,1,0,0
0,95,4450,1,0,0
0,96,2500,1,0,0
0,97,4000,-1,0,0
0,98,2060,1,0,0
0,99,5550,-1,0,0
0,100,4610,1,0,0
0,101,3010,-1,0,0
