parcode,trial,rt,choice,item_left,item_right
0,0,4140,-1,6,7
0,1,11070,1,6,7
0,2,3410,-1,6,7
0,3,1810,-1,6,7
0,4,4290,1,6,7
0,5,7460,-1,6,7
0,6,6640,1,6,7
0,7,1580,1,6,7
0,8,5340,-1,6,7
0,9,1870,1,6,7
0,10,2580,1,6,7
0,11,1000,-1,6,7
0,12,410,1,6,7
0,13,3480,-1,6,7
0,14,830,-1,6,7
0,15,4650,1,6,7
0,16,4100,-1,6,7
0,17,2990,-1,6,7
0,18,760,-1,6,7
0,19,2390,-1,6,7
0,20,4960,-1,6,7
0,21,3350,-1,6,7
0,22,11270,-1,6,7
0,23,1490,1,6,7
0,24,2410,-1,6,7
0,25,880,-1,6,7
0,26,14950,-1,6,7
0,27,12310,1,6,7
0,28,2890,1,6,7
0,29,1510,-1,6,7
0,30,11190,1,6,7
0,31,2290,-1,6,7
0,32,2780,1,6,7
0,33,540,1,6,7
0,34,6720,1,6,7
0,35,1410,-1,6,7
0,36,2200,-1,6,7
0,37,2610,1,6,7
0,38,7850,-1,6,7
0,39,6120,1,6,7
0,40,4630,-1,6,7
0,41,610,-1,6,7
0,42,5400,1,6,7
0,43,2790,1,6,7
0,44,1220,-1,6,7
0,45,10650,1,6,7
0,46,4780,-1,6,7
0,47,6800,-1,6,7
0,48,710,-1,6,7
0,49,1620,1,6,7
0,50,5050,1,6,7
0,51,3770,-1,6,7
0,52,2300,1,6,7
0,53,3420,-1,6,7
0,54,3580,-1,6,7
0,55,2820,1,6,7
0,56,3850,1,6,7
0,57,1780,1,6,7
0,58,650,-1,6,7
0,59,2070,1,6,7
0,60,3270,-1,6,7
0,61,800,1,6,7
0,62,770,1,6,7
0,63,1110,-1,6,7
0,64,3490,1,6,7
0,65,2540,1,6,7
0,66,2090,1,6,7
0,67,9650,1,6,7
0,68,1990,1,6,7
0,69,2240,1,6,7
0,70,15360,1,6,7
0,71,10870,1,6,7
0,72,2900,-1,6,7
0,73,1720,1,6,7
0,74,1440,-1,6,7
0,75,3980,-1,6,7
0,76,2040,1,6,7
0,77,1990,-1,6,7
0,78,890,-1,6,7
0,79,1310,-1,6,7
0,80,4590,-1,6,7
0,81,2660,1,6,7
0,82,640,-1,6,7
0,83,2840,-1,6,7
0,84,14800,1,6,7
0,85,1660,-1,6,7
0,86,2100,1,6,7
0,87,1800,1,6,7
0,88,2010,-1,6,7
0,89,1210,1,6,7
0,90,3330,-1,6,7
0,91,3370,-1,6,7
0,92,330,1,6,7
0,93,2510,1,6,7
0,94,3050,1,6,7
0,95,2660,1,6,7
0,96,4810,1,6,7
0,97,5890,1,6,7
0,98,1450,1,6,7
0,99,4040,1,6,7
0,100,7290,-1,6,7
0,101,2140,1,6,7
0,102,1920,1,6,7
0,103,1280,-1,6,7
0,104,5040,1,6,7
0,105,8240,1,6,7
0,106,1150,1,6,7
0,107,1660,1,6,7
0,108,1700,1,6,7
0,109,6450,-1,6,7
0,110,1390,-1,6,7
0,111,2720,1,6,7
0,112,4190,1,6,7
0,113,5670,1,6,7
0,114,780,1,6,7
0,115,1780,1,6,7
0,116,5420,-1,6,7
0,117,5310,1,6,7
0,118,3000,1,6,7
0,119,6980,-1,6,7
0,120,1320,-1,6,7
0,121,2020,1,6,7
0,122,1300,1,6,7
0,123,2230,-1,6,7
0,124,2990,1,6,7
0,125,2320,1,6,7
0,126,3720,1,6,7
0,127,1760,-1,6,7
0,128,2320,1,6,7
0,129,2810,-1,6,7
0,130,3860,1,6,7
0,131,340,-1,6,7
0,132,3310,1,6,7
0,133,13150,1,6,7
0,134,930,1,6,7
0,135,4400,-1,6,7
0,136,3700,1,6,7
0,137,1260,1,6,7
0,138,2490,-1,6,7
0,139,1040,1,6,7
0,140,18410,1,6,7
0,141,2490,-1,6,7
0,142,660,1,6,7
0,143,5470,1,6,7
0,144,4880,1,6,7
0,145,5740,1,6,7
0,146,1910,-1,6,7
0,147,860,1,6,7
0,148,1900,-1,6,7
0,149,1880,1,6,7
0,150,2220,1,6,7
0,151,3120,1,6,7
0,152,6140,1,6,7
0,153,2970,-1,6,7
0,154,8580,-1,6,7
0,155,5610,1,6,7
0,156,5640,1,6,7
0,157,3390,-1,6,7
0,158,6960,-1,6,7
0,159,4190,1,6,7
0,160,1720,-1,6,7
0,161,1630,1,6,7
0,162,830,-1,6,7
0,163,7310,1,6,7
0,164,940,1,6,7
0,165,3500,1,6,7
0,166,9980,1,6,7
0,167,6890,-1,6,7
0,168,7200,-1,6,7
0,169,1470,-1,6,7
0,170,10050,1,6,7
0,171,1950,-1,6,7
0,172,3010,-1,6,7
0,173,1770,-1,6,7
