parcode,trial,fix_item,fix_time
0,0,0,50
0,0,1,830
0,0,0,260
0,0,2,880
0,0,0,80
0,0,1,970
0,0,0,280
0,0,2,120
0,1,0,10
0,1,1,790
0,2,0,20
0,2,1,750
0,2,0,80
0,2,2,540
0,3,0,20
0,3,1,750
0,3,0,80
0,3,2,700
0,3,0,260
0,3,1,820
0,3,0,260
0,3,2,880
0,3,0,280
0,3,1,10
0,4,0,0
0,4,1,860
0,4,0,270
0,4,2,770
0,5,0,330
0,5,1,780
0,5,0,280
0,5,2,700
0,5,0,270
0,5,1,820
0,5,0,270
0,5,2,760
0,5,0,260
0,5,1,190
0,6,0,200
0,6,1,600
0,6,0,270
0,6,2,880
0,6,0,80
0,6,1,640
0,6,0,270
0,6,2,760
0,6,0,280
0,6,1,640
0,6,0,280
0,6,2,760
0,6,0,260
0,6,1,640
0,6,0,260
0,6,2,1050
0,7,0,40
0,7,1,640
0,7,0,270
0,7,2,730
0,8,0,330
0,8,1,750
0,8,0,80
0,8,2,700
0,8,0,280
0,8,1,840
0,8,0,270
0,8,2,510
0,9,0,60
0,9,1,640
0,9,0,260
0,9,2,700
0,9,0,260
0,9,1,840
0,9,0,260
0,9,2,880
0,9,0,260
0,9,1,200
0,10,0,40
0,10,1,790
0,10,0,280
0,10,2,700
0,10,0,270
0,10,1,640
0,10,0,260
0,10,2,760
0,10,0,280
0,10,1,970
0,10,0,20
0,11,0,40
0,11,1,790
0,11,0,40
0,12,0,1160
0,13,0,30
0,13,1,750
0,13,0,280
0,13,2,700
0,13,0,280
0,13,1,140
0,14,0,0
0,14,1,640
0,14,0,280
0,14,2,880
0,14,0,280
0,14,1,820
0,14,0,280
0,14,2,880
0,14,0,80
0,14,1,820
0,14,0,280
0,14,2,880
0,14,0,270
0,14,1,970
0,14,0,80
0,14,2,520
0,15,0,190
0,15,1,510
0,16,0,20
0,16,1,640
0,16,0,80
0,16,2,880
0,16,0,260
0,16,1,590
0,17,0,280
0,17,1,830
0,17,0,40
0,18,0,180
0,18,1,880
0,18,0,260
0,18,2,880
0,18,0,120
0,19,0,60
0,19,1,570
0,19,0,270
0,19,2,700
0,19,0,280
0,19,1,790
0,19,0,270
0,19,2,760
0,19,0,80
0,19,1,640
0,19,0,80
0,19,2,760
0,19,0,260
0,19,1,240
0,20,0,190
0,20,1,830
0,20,0,260
0,20,2,640
0,20,0,270
0,20,1,640
0,20,0,260
0,20,2,630
0,21,0,250
0,21,1,640
0,21,0,280
0,21,2,880
0,21,0,80
0,21,1,840
0,21,0,280
0,21,2,760
0,21,0,270
0,21,1,840
0,21,0,260
0,21,2,330
0,22,0,0
0,22,1,750
0,22,0,280
0,22,2,640
0,22,0,260
0,22,1,110
0,23,0,0
0,23,1,860
0,23,0,280
0,23,2,780
0,24,0,240
0,24,1,330
0,25,0,0
0,25,1,830
0,25,0,170
0,26,0,50
0,26,1,640
0,26,0,270
0,26,2,700
0,26,0,270
0,26,1,820
0,26,0,260
0,26,2,210
0,27,0,40
0,27,1,1040
0,27,0,270
0,27,2,640
0,27,0,270
0,27,1,640
0,27,0,270
0,27,2,760
0,27,0,260
0,27,1,640
0,27,0,270
0,27,2,320
0,28,0,20
0,28,1,750
0,28,0,280
0,28,2,510
0,29,0,0
0,29,1,860
0,29,0,270
0,29,2,640
0,29,0,280
0,29,1,770
0,30,0,0
0,30,1,600
0,30,0,190
0,31,0,260
0,31,1,570
0,31,0,280
0,31,2,640
0,31,0,280
0,31,1,140
0,32,0,50
0,32,1,790
0,32,0,260
0,32,2,700
0,32,0,270
0,32,1,610
0,33,0,60
0,33,1,780
0,33,0,80
0,33,2,700
0,33,0,80
0,33,1,790
0,33,0,280
0,33,2,70
0,34,0,250
0,34,1,750
0,34,0,280
0,34,2,880
0,34,0,270
0,34,1,820
0,34,0,260
0,34,2,760
0,34,0,50
0,35,0,10
0,35,1,600
0,35,0,80
0,35,2,640
0,35,0,80
0,35,1,640
0,35,0,80
0,35,2,530
0,36,0,180
0,36,1,830
0,36,0,270
0,36,2,880
0,36,0,280
0,36,1,40
0,37,0,660
0,37,1,600
0,37,0,260
0,37,2,880
0,37,0,270
0,37,1,20
0,38,0,660
0,38,1,600
0,38,0,270
0,38,2,700
0,38,0,260
0,39,0,40
0,39,1,570
0,39,0,260
0,39,2,700
0,39,0,80
0,39,1,840
0,39,0,260
0,39,2,570
0,40,0,180
0,40,1,600
0,40,0,280
0,40,2,880
0,40,0,280
0,40,1,170
0,41,0,50
0,41,1,750
0,41,0,80
0,41,2,90
0,42,0,60
0,42,1,790
0,42,0,280
0,42,2,640
0,42,0,270
0,42,1,820
0,42,0,270
0,42,2,760
0,42,0,270
0,42,1,640
0,42,0,280
0,42,2,760
0,42,0,100
0,43,0,10
0,43,1,1090
0,43,0,80
0,43,2,430
0,44,0,0
0,44,1,640
0,44,0,260
0,44,2,600
0,45,0,170
0,45,1,570
0,45,0,280
0,45,2,700
0,45,0,270
0,45,1,970
0,45,0,280
0,45,2,760
0,45,0,280
0,45,1,840
0,45,0,280
0,45,2,340
0,46,0,0
0,46,1,1090
0,46,0,130
0,47,0,190
0,47,1,1090
0,47,0,280
0,47,2,880
0,47,0,260
0,47,1,790
0,47,0,80
0,47,2,880
0,47,0,280
0,47,1,790
0,47,0,130
0,48,0,0
0,48,1,610
0,48,0,280
0,48,2,880
0,48,0,80
0,48,1,820
0,48,0,280
0,48,2,880
0,48,0,260
0,48,1,790
0,48,0,280
0,48,2,760
0,48,0,140
0,49,0,40
0,49,1,640
0,49,0,80
0,49,2,880
0,49,0,260
0,49,1,970
0,49,0,260
0,49,2,250
0,50,0,10
0,50,1,2440
0,50,0,280
0,50,2,740
0,50,0,260
0,50,1,720
0,50,0,80
0,50,2,1100
0,50,0,260
0,50,1,210
0,51,0,10
0,51,1,1030
0,51,0,80
0,51,2,650
0,51,0,280
0,51,1,1100
0,51,0,270
0,51,2,480
0,52,0,70
0,52,1,760
0,52,0,270
0,52,2,630
0,52,0,80
0,52,1,1100
0,52,0,280
0,52,2,710
0,52,0,80
0,52,1,640
0,52,0,260
0,52,2,710
0,52,0,270
0,52,1,1170
0,52,0,80
0,52,2,640
0,52,0,80
0,52,1,790
0,52,0,260
0,52,2,700
0,52,0,270
0,52,1,640
0,52,0,270
0,52,2,700
0,52,0,280
0,52,1,690
0,52,0,80
0,52,2,720
0,52,0,280
0,52,1,200
0,53,0,30
0,53,1,690
0,53,0,260
0,53,2,630
0,53,0,80
0,53,1,710
0,53,0,280
0,53,2,750
0,54,0,180
0,54,1,530
0,54,0,260
0,54,2,970
0,54,0,280
0,54,1,630
0,54,0,270
0,54,2,720
0,54,0,270
0,54,1,720
0,54,0,280
0,54,2,690
0,54,0,270
0,54,1,700
0,54,0,270
0,54,2,690
0,54,0,260
0,54,1,1170
0,54,0,80
0,54,2,170
0,55,0,0
0,55,1,1500
0,55,0,80
0,55,2,970
0,55,0,80
0,55,1,720
0,55,0,80
0,55,2,720
0,55,0,260
0,55,1,710
0,55,0,280
0,55,2,440
0,56,0,0
0,56,1,530
0,56,0,270
0,56,2,740
0,56,0,80
0,56,1,640
0,56,0,80
0,56,2,640
0,56,0,270
0,56,1,720
0,56,0,80
0,56,2,770
0,56,0,260
0,56,1,640
0,56,0,260
0,56,2,1100
0,56,0,260
0,56,1,50
0,57,0,0
0,57,1,1500
0,57,0,270
0,57,2,690
0,57,0,270
0,57,1,640
0,57,0,260
0,57,2,720
0,57,0,270
0,57,1,620
0,58,0,20
0,58,1,860
0,58,0,280
0,58,2,650
0,58,0,80
0,58,1,640
0,58,0,280
0,58,2,790
0,58,0,260
0,58,1,720
0,58,0,80
0,58,2,1100
0,58,0,260
0,58,1,690
0,58,0,280
0,58,2,720
0,58,0,80
0,58,1,790
0,58,0,260
0,58,2,10
0,59,0,70
0,59,1,1060
0,59,0,260
0,59,2,910
0,59,0,80
0,59,1,690
0,59,0,280
0,59,2,540
0,60,0,0
0,60,1,710
0,60,0,260
0,60,2,720
0,61,0,250
0,61,1,460
0,61,0,260
0,61,2,970
0,61,0,80
0,61,1,720
0,61,0,260
0,61,2,720
0,61,0,260
0,61,1,1100
0,61,0,280
0,61,2,140
0,62,0,50
0,62,1,590
0,62,0,270
0,62,2,1050
0,62,0,270
0,62,1,720
0,62,0,270
0,62,2,1100
0,62,0,280
0,62,1,1170
0,62,0,260
0,62,2,630
0,62,0,280
0,62,1,790
0,62,0,260
0,62,2,720
0,62,0,270
0,62,1,690
0,62,0,280
0,62,2,770
0,62,0,80
0,62,1,690
0,62,0,260
0,62,2,710
0,62,0,280
0,62,1,640
0,62,0,280
0,62,2,710
0,62,0,280
0,62,1,630
0,62,0,270
0,62,2,720
0,62,0,80
0,63,0,10
0,63,1,1060
0,63,0,80
0,63,2,630
0,63,0,280
0,63,1,790
0,63,0,80
0,63,2,640
0,63,0,80
0,63,1,140
0,64,0,10
0,64,1,530
0,64,0,270
0,64,2,690
0,64,0,260
0,64,1,1170
