parcode,trial,rt,choice,item_left,item_right
0,0,590,-1,6,7
0,1,1210,1,6,7
0,2,410,-1,6,7
0,3,2440,1,6,7
0,4,3910,1,6,7
0,5,5650,1,6,7
0,6,4870,-1,6,7
0,7,1650,1,6,7
0,8,1440,-1,6,7
0,9,3700,1,6,7
0,10,1640,1,6,7
0,11,520,-1,6,7
0,12,710,-1,6,7
0,13,1010,-1,6,7
0,14,680,-1,6,7
0,15,1260,1,6,7
0,16,1770,1,6,7
0,17,760,-1,6,7
0,18,1460,1,6,7
0,19,900,-1,6,7
0,20,640,-1,6,7
0,21,930,1,6,7
0,22,1000,-1,6,7
0,23,1470,-1,6,7
0,24,1890,1,6,7
0,25,2940,1,6,7
0,26,900,-1,6,7
0,27,1320,1,6,7
0,28,2210,1,6,7
0,29,3140,1,6,7
0,30,450,-1,6,7
0,31,1150,1,6,7
0,32,1120,-1,6,7
0,33,1620,1,6,7
0,34,740,-1,6,7
0,35,3180,1,6,7
0,36,3190,-1,6,7
0,37,710,1,6,7
0,38,4070,1,6,7
0,39,360,-1,6,7
0,40,520,-1,6,7
0,41,1100,1,6,7
0,42,1090,1,6,7
0,43,2250,1,6,7
0,44,2540,-1,6,7
0,45,2440,-1,6,7
0,46,4100,1,6,7
0,47,3160,1,6,7
0,48,800,-1,6,7
0,49,2940,1,6,7
0,50,730,-1,0,0
0,51,2720,-1,0,0
0,52,2090,-1,0,0
0,53,6580,1,0,0
0,54,7610,1,0,0
0,55,3890,-1,0,0
0,56,1130,1,0,0
0,57,2900,-1,0,0
0,58,1270,1,0,0
0,59,4070,-1,0,0
0,60,3880,-1,0,0
0,61,4720,1,0,0
0,62,13240,-1,0,0
0,63,10010,-1,0,0
0,64,4060,-1,0,0
0,65,7960,1,0,0
0,66,2130,-1,0,0
0,67,1630,-1,0,0
0,68,1090,1,0,0
0,69,2270,1,0,0
0,70,1240,1,0,0
0,71,1740,-1,0,0
0,72,1370,1,0,0
0,73,4390,-1,0,0
0,74,490,-1,0,0
0,75,910,1,0,0
0,76,3190,-1,0,0
0,77,920,1,0,0
0,78,990,-1,0,0
0,79,2530,-1,0,0
0,80,4100,1,0,0
0,81,1140,-1,0,0
0,82,740,-1,0,0
0,83,2160,-1,0,0
0,84,11050,1,0,0
0,85,2370,1,0,0
0,86,940,-1,0,0
0,87,4180,-1,0,0
0,88,2080,-1,0,0
0,89,2330,1,0,0
0,90,1400,1,0,0
0,91,2270,1,0,0
0,92,9300,-1,0,0
0,93,580,1,0,0
0,94,5960,-1,0,0
0,95,10100,1,0,0
0,96,2850,1,0,0
0,97,3350,1,0,0
0,98,2390,-1,0,0
0,99,1990,1,0,0
0,100,5230,1,0,0
0,101,2050,1,0,0
0,102,4240,-1,0,0
0,103,1150,1,0,0
0,104,3360,-1,0,0
0,105,770,1,0,0
0,106,1940,-1,0,0
0,107,2780,1,0,0
0,108,490,1,0,0
0,109,3620,-1,0,0
0,110,3500,1,0,0
0,111,9910,1,0,0
0,112,4670,-1,0,0
0,113,7000,-1,0,0
0,114,1110,1,0,0
0,115,6910,-1,0,0
0,116,1530,1,0,0
0,117,1920,-1,0,0
0,118,810,1,0,0
0,119,2790,-1,0,0
0,120,3580,-1,0,0
0,121,2650,-1,0,0
0,122,1250,1,0,0
0,123,870,-1,0,0
0,124,1500,-1,0,0
0,125,1770,1,0,0
0,126,1870,-1,0,0
0,127,5450,-1,0,0
0,128,4580,-1,0,0
0,129,1150,-1,0,0
0,130,750,-1,0,0
0,131,970,-1,0,0
0,132,960,1,0,0
0,133,640,1,0,0
0,134,1880,-1,0,0
0,135,400,-1,0,0
0,136,6930,1,0,0
0,137,760,-1,0,0
0,138,3380,1,0,0
0,139,4000,1,0,0
0,140,2300,1,0,0
0,141,3890,-1,0,0
0,142,310,1,0,0
0,143,490,1,0,0
0,144,2660,-1,0,0
0,145,4670,-1,0,0
0,146,1250,1,0,0
0,147,3290,1,0,0
0,148,910,1,0,0
0,149,1410,-1,0,0
0,150,2600,-1,2,0
0,151,1800,-1,2,0
0,152,2090,-1,2,0
0,153,650,-1,2,0
0,154,1090,-1,2,0
0,155,380,-1,2,0
0,156,1720,-1,2,0
0,157,1690,-1,2,0
0,158,3540,-1,2,0
0,159,1630,-1,2,0
0,160,2340,1,2,0
0,161,1500,-1,2,0
0,162,1080,-1,2,0
0,163,1710,1,2,0
0,164,4600,-1,2,0
0,165,1560,-1,2,0
0,166,1280,-1,2,0
0,167,5980,-1,2,0
0,168,5260,-1,2,0
0,169,1060,-1,2,0
0,170,2020,-1,2,0
0,171,490,-1,2,0
0,172,1220,1,2,0
0,173,8360,-1,2,0
0,174,6560,-1,2,0
0,175,860,-1,2,0
0,176,1960,-1,2,0
0,177,3750,-1,2,0
0,178,480,-1,2,0
0,179,1770,-1,2,0
0,180,600,-1,2,0
0,181,2400,-1,2,0
0,182,1740,-1,2,0
0,183,520,-1,2,0
0,184,2440,-1,2,0
0,185,3650,-1,2,0
0,186,1270,-1,2,0
0,187,520,-1,2,0
0,188,2570,-1,2,0
0,189,1120,-1,2,0
0,190,1280,1,2,0
0,191,770,-1,2,0
0,192,4010,-1,2,0
0,193,5150,-1,2,0
0,194,1610,-1,2,0
0,195,1590,-1,2,0
0,196,1390,1,2,0
0,197,5780,1,2,0
0,198,1020,-1,2,0
0,199,1990,1,2,0
0,200,1800,-1,0,0
0,201,1770,-1,0,0
0,202,2680,1,0,0
0,203,1340,-1,0,0
0,204,2090,1,0,0
0,205,1330,-1,0,0
0,206,2420,1,0,0
0,207,9300,-1,0,0
0,208,7390,-1,0,0
0,209,2780,-1,0,0
0,210,1290,1,0,0
0,211,810,1,0,0
0,212,8500,1,0,0
0,213,4220,1,0,0
0,214,1640,1,0,0
0,215,1700,1,0,0
0,216,13660,1,0,0
0,217,8010,-1,0,0
0,218,1000,-1,0,0
0,219,670,1,0,0
0,220,860,1,0,0
0,221,1810,1,0,0
0,222,1960,1,0,0
0,223,1760,1,0,0
0,224,1930,-1,0,0
0,225,6030,1,0,0
0,226,2360,1,0,0
0,227,3640,-1,0,0
0,228,2760,-1,0,0
0,229,510,1,0,0
0,230,9790,1,0,0
0,231,3000,-1,0,0
0,232,480,-1,0,0
0,233,2840,-1,0,0
0,234,1720,-1,0,0
0,235,1750,-1,0,0
0,236,4190,-1,0,0
0,237,2420,1,0,0
0,238,850,1,0,0
0,239,3650,-1,0,0
0,240,2210,1,0,0
0,241,2500,1,0,0
0,242,1830,-1,0,0
0,243,660,-1,0,0
0,244,2690,-1,0,0
0,245,1260,-1,0,0
0,246,960,1,0,0
0,247,3070,1,0,0
0,248,1090,1,0,0
0,249,4150,-1,0,0
0,250,1330,1,5,6
0,251,1650,-1,5,6
0,252,1160,1,5,6
0,253,3090,-1,5,6
0,254,3010,1,5,6
0,255,2710,1,5,6
0,256,1210,-1,5,6
0,257,3000,1,5,6
0,258,1380,1,5,6
0,259,2520,-1,5,6
0,260,3050,1,5,6
0,261,620,1,5,6
0,262,1280,1,5,6
0,263,1210,-1,5,6
0,264,3990,-1,5,6
0,265,7190,-1,5,6
0,266,890,1,5,6
0,267,8200,1,5,6
0,268,1010,-1,5,6
0,269,3410,-1,5,6
0,270,750,1,5,6
0,271,1500,1,5,6
0,272,4520,-1,5,6
0,273,4710,1,5,6
0,274,3310,-1,5,6
0,275,2180,1,5,6
0,276,2350,1,5,6
0,277,1110,-1,5,6
0,278,1520,1,5,6
0,279,1320,1,5,6
0,280,3580,1,5,6
0,281,710,-1,5,6
0,282,2360,1,5,6
0,283,2670,1,5,6
0,284,1070,1,5,6
0,285,3420,1,5,6
0,286,2680,1,5,6
0,287,1430,-1,5,6
0,288,1410,-1,5,6
0,289,1460,1,5,6
0,290,2550,1,5,6
0,291,3140,1,5,6
0,292,4500,-1,5,6
0,293,1820,1,5,6
0,294,1580,1,5,6
0,295,920,-1,5,6
0,296,800,1,5,6
0,297,600,-1,5,6
0,298,3130,1,5,6
0,299,1360,1,5,6
0,300,1510,-1,3,3
0,301,1870,-1,3,3
0,302,510,-1,3,3
0,303,2370,-1,3,3
0,304,2330,-1,3,3
0,305,2930,-1,3,3
0,306,3830,1,3,3
0,307,9010,1,3,3
