parcode,trial,fix_item,fix_time
0,0,0,330
0,0,1,880
0,0,0,280
0,0,2,880
0,0,0,280
0,0,1,970
0,0,0,280
0,0,2,1000
0,1,0,190
0,1,1,830
0,1,0,270
0,1,2,700
0,1,0,270
0,1,1,640
0,1,0,260
0,1,2,1570
0,1,0,260
0,1,1,640
0,1,0,80
0,1,2,1570
0,1,0,280
0,1,1,640
0,1,0,80
0,1,2,1570
0,1,0,80
0,1,1,340
0,2,0,170
0,2,1,1040
0,2,0,80
0,2,2,480
0,3,0,60
0,3,1,750
0,3,0,260
0,3,2,400
0,4,0,30
0,4,1,790
0,4,0,280
0,4,2,400
0,5,0,70
0,5,1,400
0,6,0,50
0,6,1,640
0,6,0,270
0,6,2,640
0,6,0,260
0,6,1,970
0,6,0,80
0,6,2,580
0,7,0,260
0,7,1,400
0,8,0,50
0,8,1,570
0,8,0,260
0,8,2,700
0,8,0,80
0,8,1,820
0,8,0,270
0,8,2,880
0,8,0,80
0,8,1,820
0,8,0,260
0,8,2,870
0,9,0,40
0,9,1,780
0,9,0,80
0,9,2,700
0,9,0,280
0,9,1,150
0,10,0,180
0,10,1,600
0,10,0,260
0,10,2,640
0,10,0,280
0,10,1,800
0,11,0,1860
0,11,1,600
0,11,0,270
0,11,2,880
0,11,0,280
0,11,1,640
0,11,0,280
0,11,2,1060
0,12,0,50
0,12,1,780
0,12,0,270
0,12,2,150
0,13,0,280
0,13,1,570
0,13,0,260
0,13,2,400
0,14,0,0
0,14,1,610
0,14,0,280
0,14,2,640
0,14,0,260
0,14,1,640
0,14,0,270
0,14,2,880
0,14,0,80
0,14,1,840
0,14,0,260
0,14,2,400
0,15,0,50
0,15,1,740
0,16,0,0
0,16,1,440
0,17,0,10
0,17,1,1090
0,17,0,80
0,17,2,700
0,18,0,30
0,18,1,750
0,18,0,80
0,18,2,700
0,18,0,70
0,19,0,40
0,19,1,570
0,19,0,260
0,19,2,700
0,19,0,280
0,19,1,480
0,20,0,190
0,20,1,640
0,20,0,260
0,20,2,880
0,20,0,270
0,20,1,640
0,20,0,100
0,21,0,60
0,21,1,860
0,21,0,260
0,21,2,640
0,21,0,260
0,21,1,790
0,21,0,270
0,21,2,1570
0,21,0,280
0,21,1,820
0,21,0,280
0,21,2,400
0,22,0,240
0,22,1,170
0,23,0,240
0,23,1,790
0,23,0,280
0,23,2,880
0,23,0,260
0,23,1,640
0,23,0,80
0,23,2,450
0,24,0,210
0,24,1,600
0,24,0,280
0,24,2,640
0,24,0,140
0,25,0,10
0,25,1,780
0,26,0,40
0,26,1,610
0,26,0,280
0,26,2,210
0,27,0,40
0,27,1,750
0,27,0,90
0,28,0,180
0,28,1,640
0,28,0,160
0,29,0,180
0,29,1,860
0,29,0,270
0,29,2,880
0,29,0,280
0,29,1,820
0,29,0,280
0,29,2,880
0,29,0,260
0,29,1,640
0,29,0,80
0,29,2,880
0,29,0,80
0,29,1,820
0,30,0,160
0,30,1,1040
0,30,0,270
0,30,2,880
0,30,0,280
0,30,1,790
0,30,0,80
0,30,2,510
0,31,0,250
0,31,1,640
0,31,0,280
0,31,2,640
0,31,0,270
0,31,1,830
0,32,0,10
0,32,1,600
0,32,0,80
0,32,2,640
0,32,0,80
0,32,1,790
0,32,0,80
0,32,2,1570
0,32,0,260
0,32,1,530
0,33,0,30
0,33,1,880
0,33,0,80
0,33,2,880
0,33,0,80
0,33,1,790
0,33,0,280
0,33,2,420
0,34,0,10
0,34,1,860
0,34,0,280
0,34,2,390
0,35,0,1860
0,35,1,450
0,36,0,30
0,36,1,780
0,36,0,260
0,36,2,880
0,36,0,280
0,36,1,970
0,36,0,280
0,36,2,1570
