parcode,trial,rt,choice,item_left,item_right
0,0,3640,1,6,7
0,1,2230,-1,6,7
0,2,1980,1,6,7
0,3,1740,-1,6,7
0,4,7230,1,6,7
0,5,1150,-1,6,7
0,6,1430,1,6,7
0,7,5540,-1,6,7
0,8,8120,-1,6,7
0,9,4360,-1,6,7
0,10,2590,1,6,7
0,11,2410,1,6,7
0,12,750,-1,6,7
0,13,3350,1,6,7
0,14,4070,1,6,7
0,15,1200,1,6,7
0,16,6040,1,6,7
0,17,670,-1,6,7
0,18,3100,1,6,7
0,19,2620,1,6,7
0,20,1540,1,6,7
0,21,1290,-1,6,7
0,22,1200,-1,6,7
0,23,5210,-1,6,7
0,24,1630,1,6,7
0,25,4340,1,6,7
0,26,2230,1,6,7
0,27,5260,1,6,7
0,28,2910,1,6,7
0,29,1810,1,6,7
0,30,1620,1,6,7
0,31,2540,-1,6,7
0,32,1440,-1,6,7
0,33,1680,-1,6,7
0,34,650,-1,6,7
0,35,1870,1,6,7
0,36,3210,1,6,7
0,37,420,-1,6,7
0,38,2340,1,6,7
0,39,5080,-1,6,7
0,40,750,-1,6,7
0,41,13630,-1,6,7
0,42,2040,1,6,7
0,43,860,-1,6,7
0,44,1360,1,6,7
0,45,2800,1,6,7
0,46,2140,1,6,7
0,47,1110,-1,6,7
0,48,1460,1,6,7
0,49,7310,-1,6,7
0,50,2280,1,6,7
0,51,6700,1,6,7
0,52,1520,-1,6,7
0,53,2430,1,6,7
0,54,2730,1,6,7
0,55,2130,1,6,7
0,56,2470,-1,6,7
0,57,1830,1,6,7
0,58,3990,1,6,7
0,59,820,-1,6,7
0,60,2040,1,6,7
0,61,4220,-1,6,7
0,62,9630,-1,6,7
0,63,8460,1,6,7
0,64,8020,1,6,7
0,65,7000,1,6,7
0,66,2980,1,6,7
0,67,4020,1,6,7
0,68,6530,1,6,7
0,69,1300,-1,6,7
0,70,820,-1,6,7
0,71,420,-1,6,7
0,72,3800,-1,6,7
0,73,8580,1,6,7
0,74,900,-1,6,7
0,75,4740,1,6,7
0,76,1080,-1,6,7
0,77,11240,-1,6,7
0,78,4280,-1,6,7
0,79,4160,-1,6,7
0,80,3230,1,6,7
0,81,8180,1,6,7
0,82,3360,-1,6,7
0,83,1600,1,6,7
0,84,2500,1,6,7
0,85,3490,1,6,7
0,86,2290,1,6,7
0,87,1640,1,6,7
0,88,4250,-1,6,7
0,89,1740,1,6,7
0,90,4180,1,6,7
0,91,12710,1,6,7
0,92,4440,1,6,7
0,93,2140,1,6,7
0,94,720,1,6,7
0,95,2200,-1,6,7
0,96,1850,1,6,7
0,97,5320,-1,6,7
0,98,3860,-1,6,7
0,99,980,-1,6,7
0,100,2810,1,6,7
0,101,9600,-1,6,7
0,102,8620,1,6,7
0,103,2170,-1,6,7
0,104,980,-1,6,7
0,105,5720,1,6,7
0,106,630,-1,6,7
0,107,3390,-1,6,7
0,108,4180,-1,6,7
0,109,6520,1,6,7
0,110,2230,1,6,7
0,111,1520,-1,6,7
0,112,1110,1,6,7
0,113,3410,-1,6,7
0,114,8290,1,6,7
0,115,2010,-1,6,7
0,116,4360,-1,6,7
0,117,2030,1,6,7
0,118,2940,-1,6,7
0,119,10010,1,6,7
0,120,1510,1,6,7
0,121,4170,1,6,7
0,122,780,-1,6,7
0,123,11870,1,6,7
0,124,3910,-1,6,7
0,125,1820,-1,6,7
0,126,880,-1,6,7
0,127,2650,-1,6,7
0,128,870,-1,6,7
0,129,1100,-1,6,7
0,130,4770,-1,6,7
