parcode,trial,rt,choice,item_left,item_right
0,0,3980,1,6,7
0,1,1280,-1,6,7
0,2,6790,1,6,7
0,3,950,-1,6,7
0,4,1140,-1,6,7
0,5,2440,-1,6,7
0,6,460,-1,6,7
0,7,1030,-1,6,7
0,8,1700,-1,6,7
0,9,8270,1,6,7
0,10,2030,-1,6,7
0,11,3670,-1,6,7
0,12,1940,1,6,7
0,13,990,-1,6,7
0,14,1390,1,6,7
0,15,5790,1,6,7
0,16,4390,-1,6,7
0,17,4460,1,6,7
0,18,2560,-1,6,7
0,19,7390,-1,6,7
0,20,4990,-1,6,7
0,21,1220,-1,6,7
0,22,3400,1,6,7
0,23,3330,-1,6,7
0,24,17470,1,6,7
0,25,2090,-1,6,7
0,26,1800,1,6,7
0,27,1610,1,6,7
0,28,5970,1,6,7
0,29,790,-1,6,7
0,30,850,-1,6,7
0,31,460,-1,6,7
0,32,580,-1,6,7
0,33,4150,1,6,7
0,34,3380,1,6,7
0,35,6370,1,6,7
0,36,7670,-1,6,7
0,37,12810,-1,6,7
0,38,1690,1,6,7
0,39,3260,1,6,7
0,40,4380,1,6,7
0,41,2060,-1,6,7
0,42,2690,-1,6,7
0,43,1340,1,6,7
0,44,3440,-1,6,7
0,45,2710,-1,6,7
0,46,340,-1,6,7
0,47,3190,-1,6,7
0,48,4100,1,6,7
0,49,770,-1,6,7
0,50,2710,1,0,0
0,51,5430,-1,0,0
0,52,12680,1,0,0
0,53,800,1,0,0
0,54,26000,1,0,0
0,55,4590,-1,0,0
0,56,2260,-1,0,0
0,57,1880,-1,0,0
0,58,970,-1,0,0
0,59,7360,1,0,0
0,60,17050,1,0,0
0,61,5400,1,0,0
0,62,6260,-1,0,0
0,63,4270,1,0,0
0,64,2070,1,0,0
0,65,2430,-1,0,0
0,66,5420,-1,0,0
0,67,2740,-1,0,0
0,68,3450,1,0,0
0,69,1200,1,0,0
0,70,4180,1,0,0
0,71,4650,-1,0,0
0,72,4360,1,0,0
0,73,7740,-1,0,0
0,74,1560,-1,0,0
0,75,3520,1,0,0
0,76,1370,1,0,0
0,77,5850,1,0,0
0,78,4390,1,0,0
0,79,3290,1,0,0
0,80,6930,-1,0,0
0,81,3800,1,0,0
0,82,4680,1,0,0
0,83,8670,-1,0,0
0,84,7400,-1,0,0
0,85,8880,1,0,0
0,86,1370,1,0,0
0,87,1000,-1,0,0
0,88,3410,-1,0,0
0,89,790,1,0,0
0,90,2920,1,0,0
0,91,2850,1,0,0
0,92,6710,-1,0,0
0,93,8470,-1,0,0
0,94,2180,1,0,0
0,95,6280,-1,0,0
0,96,4740,-1,0,0
0,97,1920,-1,0,0
0,98,3750,1,0,0
0,99,1470,-1,0,0
0,100,810,-1,0,0
0,101,2830,1,0,0
0,102,1410,1,0,0
0,103,4750,-1,0,0
0,104,6590,-1,0,0
0,105,5310,1,0,0
0,106,760,1,0,0
0,107,5990,1,0,0
0,108,15090,1,0,0
0,109,5050,-1,0,0
0,110,790,1,0,0
0,111,5870,-1,0,0
0,112,4270,1,0,0
0,113,1120,1,0,0
0,114,6010,-1,0,0
0,115,8970,1,0,0
0,116,2700,1,0,0
0,117,580,-1,0,0
0,118,790,1,0,0
0,119,3600,-1,0,0
0,120,7440,-1,0,0
0,121,2240,1,0,0
0,122,900,-1,0,0
0,123,10170,-1,0,0
0,124,2540,1,0,0
0,125,1970,-1,0,0
0,126,4440,1,0,0
0,127,2570,-1,0,0
0,128,2670,-1,0,0
0,129,3790,-1,0,0
0,130,3130,1,0,0
0,131,1330,1,0,0
0,132,2980,-1,0,0
0,133,3070,-1,0,0
0,134,3870,-1,0,0
0,135,17100,1,0,0
0,136,3440,-1,0,0
0,137,11010,1,0,0
0,138,790,-1,0,0
0,139,7690,1,0,0
0,140,6830,1,0,0
0,141,3000,1,0,0
0,142,15990,-1,0,0
0,143,1270,-1,0,0
0,144,2150,1,0,0
0,145,1720,1,0,0
0,146,1420,-1,0,0
0,147,1950,-1,0,0
0,148,4700,-1,0,0
