parcode,trial,fix_item,fix_time
0,0,0,160
0,0,1,640
0,0,0,260
0,0,2,640
0,0,0,260
0,0,1,640
0,0,0,270
0,0,2,1110
0,1,0,0
0,1,1,780
0,1,0,80
0,1,2,420
0,2,0,30
0,2,1,750
0,2,0,270
0,2,2,880
0,2,0,260
0,2,1,820
0,2,0,280
0,2,2,760
0,2,0,280
0,2,1,840
0,2,0,80
0,2,2,1540
0,3,0,160
0,3,1,780
0,3,0,10
0,4,0,660
0,4,1,480
0,5,0,10
0,5,1,780
0,5,0,270
0,5,2,640
0,5,0,280
0,5,1,460
0,6,0,0
0,6,1,460
0,7,0,260
0,7,1,770
0,8,0,0
0,8,1,570
0,8,0,270
0,8,2,700
0,8,0,80
0,8,1,80
0,9,0,170
0,9,1,640
0,9,0,280
0,9,2,700
0,9,0,270
0,9,1,640
0,9,0,280
0,9,2,880
0,9,0,260
0,9,1,790
0,9,0,270
0,9,2,1570
0,9,0,280
0,9,1,820
0,9,0,80
0,9,2,340
0,10,0,0
0,10,1,830
0,10,0,260
0,10,2,700
0,10,0,240
0,11,0,660
0,11,1,780
0,11,0,260
0,11,2,640
0,11,0,80
0,11,1,790
0,11,0,80
0,11,2,380
0,12,0,10
0,12,1,1040
0,12,0,280
0,12,2,610
0,13,0,140
0,13,1,830
0,13,0,20
0,14,0,50
0,14,1,640
0,14,0,280
0,14,2,420
0,15,0,170
0,15,1,860
0,15,0,280
0,15,2,640
0,15,0,280
0,15,1,640
0,15,0,280
0,15,2,760
0,15,0,280
0,15,1,970
0,15,0,80
0,15,2,550
0,16,0,60
0,16,1,880
0,16,0,270
0,16,2,700
0,16,0,260
0,16,1,840
0,16,0,260
0,16,2,760
0,16,0,80
0,16,1,280
0,17,0,0
0,17,1,790
0,17,0,280
0,17,2,700
0,17,0,260
0,17,1,820
0,17,0,280
0,17,2,1330
0,18,0,190
0,18,1,790
0,18,0,80
0,18,2,880
0,18,0,280
0,18,1,340
0,19,0,30
0,19,1,570
0,19,0,280
0,19,2,880
0,19,0,80
0,19,1,820
0,19,0,270
0,19,2,1570
0,19,0,280
0,19,1,820
0,19,0,260
0,19,2,760
0,19,0,80
0,19,1,690
0,20,0,50
0,20,1,1040
0,20,0,80
0,20,2,700
0,20,0,280
0,20,1,970
0,20,0,260
0,20,2,880
0,20,0,80
0,20,1,650
0,21,0,0
0,21,1,570
0,21,0,280
0,21,2,370
0,22,0,40
0,22,1,610
0,22,0,80
0,22,2,700
0,22,0,280
0,22,1,840
0,22,0,260
0,22,2,590
0,23,0,0
0,23,1,880
0,23,0,270
0,23,2,880
0,23,0,280
0,23,1,970
0,23,0,50
0,24,0,160
0,24,1,640
0,24,0,80
0,24,2,880
0,24,0,260
0,24,1,840
0,24,0,80
0,24,2,880
0,24,0,260
0,24,1,970
0,24,0,270
0,24,2,1570
0,24,0,80
0,24,1,820
0,24,0,270
0,24,2,880
0,24,0,260
0,24,1,970
0,24,0,260
0,24,2,880
0,24,0,280
0,24,1,640
0,24,0,80
0,24,2,880
0,24,0,260
0,24,1,790
0,24,0,260
0,24,2,760
0,24,0,80
0,24,1,790
0,24,0,270
0,24,2,1070
0,25,0,190
0,25,1,600
0,25,0,260
0,25,2,640
0,25,0,260
0,25,1,140
0,26,0,30
0,26,1,640
0,26,0,80
0,26,2,880
0,26,0,170
0,27,0,150
0,27,1,860
0,27,0,260
0,27,2,340
0,28,0,50
0,28,1,780
0,28,0,280
0,28,2,640
0,28,0,260
0,28,1,970
0,28,0,260
0,28,2,880
0,28,0,260
0,28,1,790
0,28,0,80
0,28,2,720
0,29,0,50
0,29,1,740
0,30,0,50
0,30,1,600
0,30,0,200
0,31,0,0
0,31,1,460
0,32,0,0
0,32,1,580
0,33,0,30
0,33,1,640
0,33,0,270
0,33,2,880
0,33,0,270
0,33,1,840
0,33,0,80
0,33,2,1140
0,34,0,0
0,34,1,640
0,34,0,80
0,34,2,640
0,34,0,270
0,34,1,790
0,34,0,260
0,34,2,700
0,35,0,140
0,35,1,880
0,35,0,270
0,35,2,640
0,35,0,280
0,35,1,640
0,35,0,260
0,35,2,880
0,35,0,260
0,35,1,970
0,35,0,270
0,35,2,880
0,36,0,210
0,36,1,880
0,36,0,260
0,36,2,880
0,36,0,280
0,36,1,970
0,36,0,80
0,36,2,880
0,36,0,270
0,36,1,840
0,36,0,280
0,36,2,760
0,36,0,280
0,36,1,800
0,37,0,0
0,37,1,570
0,37,0,270
0,37,2,640
0,37,0,260
0,37,1,640
0,37,0,80
0,37,2,760
0,37,0,270
0,37,1,970
0,37,0,280
0,37,2,880
0,37,0,270
0,37,1,790
0,37,0,280
0,37,2,760
0,37,0,80
0,37,1,640
0,37,0,260
0,37,2,880
0,37,0,260
0,37,1,970
0,37,0,80
0,37,2,760
0,37,0,270
0,37,1,890
0,38,0,250
