parcode,trial,rt,choice,item_left,item_right
0,0,1230,-1,1,1
0,1,4410,1,1,1
0,2,1850,1,1,1
0,3,5300,-1,1,1
0,4,2380,1,1,1
0,5,5140,-1,1,1
0,6,590,-1,1,1
0,7,2980,1,1,1
0,8,960,1,1,1
0,9,5040,1,1,1
0,10,14820,1,1,1
0,11,3890,1,1,1
0,12,9710,1,1,1
0,13,8000,1,1,1
0,14,640,1,1,1
0,15,1480,1,1,1
0,16,1410,1,1,1
0,17,7650,1,1,1
0,18,15150,-1,1,1
0,19,1230,1,1,1
0,20,6890,1,1,1
0,21,12500,1,1,1
0,22,12770,1,1,1
0,23,4410,1,1,1
0,24,4450,1,1,1
0,25,2910,1,1,1
0,26,6940,-1,1,1
0,27,4440,1,1,1
0,28,5950,-1,1,1
0,29,1560,1,1,1
0,30,10680,1,1,1
0,31,1660,1,1,1
0,32,2440,1,1,1
0,33,2630,1,1,1
0,34,1430,1,1,1
0,35,1370,1,1,1
0,36,1930,1,1,1
0,37,1550,1,1,1
0,38,2340,1,1,1
0,39,3810,-1,1,1
0,40,640,-1,1,1
0,41,2620,1,1,1
0,42,940,1,1,1
0,43,4480,1,1,1
0,44,1270,-1,1,1
0,45,4410,1,1,1
0,46,740,-1,1,1
0,47,2250,1,1,1
0,48,5330,1,1,1
0,49,4060,1,1,1
0,50,1050,-1,1,1
0,51,1320,1,1,1
0,52,2550,-1,1,1
0,53,4650,-1,1,1
0,54,2300,-1,1,1
0,55,3370,1,1,1
0,56,11950,1,1,1
0,57,4400,1,1,1
0,58,12100,1,1,1
0,59,930,1,1,1
0,60,1690,1,1,1
0,61,6950,-1,1,1
0,62,5530,1,1,1
0,63,2210,-1,1,1
0,64,1540,1,1,1
0,65,2760,1,1,1
0,66,1460,-1,1,1
0,67,3040,1,1,1
0,68,690,1,1,1
0,69,5680,1,1,1
0,70,3380,1,1,1
0,71,4500,1,1,1
0,72,1050,-1,1,1
0,73,3270,1,1,1
0,74,4290,1,1,1
0,75,2050,1,1,1
0,76,5480,1,1,1
0,77,2960,1,1,1
0,78,820,1,1,1
0,79,8430,1,1,1
0,80,10070,1,1,1
0,81,2560,-1,1,1
0,82,4820,-1,1,1
0,83,7230,1,1,1
0,84,3070,1,1,1
0,85,2380,1,1,1
0,86,4310,1,1,1
0,87,9400,1,1,1
0,88,1760,-1,1,1
0,89,4940,1,1,1
0,90,1510,1,1,1
0,91,1800,1,1,1
0,92,4410,-1,1,1
0,93,8740,1,1,1
0,94,4010,1,1,1
0,95,1070,-1,1,1
